,Open,Close,"SI(C2<>B2,1,0)"
0,16.66,16.66,0
1,16.85,16.85,0
2,16.93,16.93,0
3,16.98,16.98,0
4,17.08,17.08,0
5,17.03,17.03,0
6,17.09,17.09,0
7,16.76,16.76,0
8,16.67,16.67,0
9,16.72,16.72,0
10,16.86,16.86,0
11,16.85,16.85,0
12,16.87,16.87,0
13,16.9,16.9,0
14,16.92,16.92,0
15,16.86,16.86,0
16,16.74,16.74,0
17,16.73,16.73,0
18,16.82,16.82,0
19,17.02,17.02,0
20,17.05,17.05,0
21,17.05,17.05,0
22,17.23,17.23,0
23,17.29,17.29,0
24,17.32,17.32,0
25,17.23,17.23,0
26,17.21,17.21,0
27,17.28,17.28,0
28,17.24,17.24,0
29,17.06,17.06,0
30,17.06,17.06,0
31,16.99,16.99,0
32,17.15,17.15,0
33,17.2,17.2,0
34,17.17,17.17,0
35,17.21,17.21,0
36,17.28,17.28,0
37,17.28,17.28,0
38,17.22,17.22,0
39,17.24,17.24,0
40,17.23,17.23,0
41,17.29,17.29,0
42,17.32,17.32,0
43,17.2,17.2,0
44,17.19,17.19,0
45,17.07,17.07,0
46,17.09,17.09,0
47,17.12,17.12,0
48,17.25,17.25,0
49,17.45,17.45,0
50,17.49,17.49,0
51,17.45,17.45,0
52,17.44,17.44,0
53,17.45,17.45,0
54,17.55,17.55,0
55,17.56,17.56,0
56,17.56,17.56,0
57,17.46,17.46,0
58,17.53,17.53,0
59,17.44,17.44,0
60,17.3,17.3,0
61,17.29,17.29,0
62,17.53,17.53,0
63,17.55,17.55,0
64,17.63,17.63,0
65,17.78,17.78,0
66,17.85,17.85,0
67,17.75,17.75,0
68,17.94,17.94,0
69,17.98,17.98,0
70,17.96,17.96,0
71,17.88,17.88,0
72,18.03,18.03,0
73,18.05,18.05,0
74,17.93,17.93,0
75,17.96,17.96,0
76,17.83,17.83,0
77,17.83,17.83,0
78,17.76,17.76,0
79,17.86,17.86,0
80,17.96,17.96,0
81,18.22,18.22,0
82,18.11,18.11,0
83,18.27,18.27,0
84,18.12,18.12,0
85,18.22,18.22,0
86,18.27,18.27,0
87,18.27,18.27,0
88,18.29,18.29,0
89,18.29,18.29,0
90,18.18,18.18,0
91,18.26,18.26,0
92,18.44,18.44,0
93,18.52,18.52,0
94,18.56,18.56,0
95,18.68,18.68,0
96,18.6,18.6,0
97,18.71,18.71,0
98,18.69,18.69,0
99,18.69,18.69,0
100,18.67,18.67,0
101,18.72,18.72,0
102,18.78,18.78,0
103,18.77,18.77,0
104,18.79,18.79,0
105,18.6,18.6,0
106,18.88,18.88,0
107,18.93,18.93,0
108,19.14,19.14,0
109,19.26,19.26,0
110,19.4,19.4,0
111,19.25,19.25,0
112,18.98,18.98,0
113,18.93,18.93,0
114,18.97,18.97,0
115,18.92,18.92,0
116,18.83,18.83,0
117,19,19,0
118,19.16,19.16,0
119,19.14,19.14,0
120,18.11,18.11,0
121,17.91,17.91,0
122,18.11,18.11,0
123,17.44,17.44,0
124,17.69,17.69,0
125,17.64,17.64,0
126,17.81,17.81,0
127,17.91,17.91,0
128,17.67,17.67,0
129,17.59,17.59,0
130,17.32,17.32,0
131,16.87,16.87,0
132,16.69,16.69,0
133,16.87,16.87,0
134,16.68,16.68,0
135,17.06,17.06,0
136,17.36,17.36,0
137,17.61,17.61,0
138,17.59,17.59,0
139,17.48,17.48,0
140,17.23,17.23,0
141,17.27,17.27,0
142,17.5,17.5,0
143,17.69,17.69,0
144,17.84,17.84,0
145,18.02,18.02,0
146,17.95,17.95,0
147,17.99,17.99,0
148,18.14,18.14,0
149,18.41,18.41,0
150,18.46,18.46,0
151,18.61,18.61,0
152,18.48,18.48,0
153,18.28,18.28,0
154,18.29,18.29,0
155,18.32,18.32,0
156,18.34,18.34,0
157,18.54,18.54,0
158,18.68,18.68,0
159,18.7,18.7,0
160,18.68,18.68,0
161,18.82,18.82,0
162,18.79,18.79,0
163,18.54,18.54,0
164,18.53,18.53,0
165,18.54,18.54,0
166,18.43,18.43,0
167,18.42,18.42,0
168,18.55,18.55,0
169,18.68,18.68,0
170,18.54,18.54,0
171,18.59,18.59,0
172,18.75,18.75,0
173,18.61,18.61,0
174,18.87,18.87,0
175,19.09,19.09,0
176,19.18,19.18,0
177,19.29,19.29,0
178,19.37,19.37,0
179,19.31,19.31,0
180,19.21,19.21,0
181,19.37,19.37,0
182,19.44,19.44,0
183,19.42,19.42,0
184,19.14,19.14,0
185,19.41,19.41,0
186,19.42,19.42,0
187,19.45,19.45,0
188,19.69,19.69,0
189,19.66,19.66,0
190,20,20,0
191,19.89,19.89,0
192,20.12,20.12,0
193,20,20,0
194,19.78,19.78,0
195,19.86,19.86,0
196,19.85,19.85,0
197,19.71,19.71,0
198,19.89,19.89,0
199,20.01,20.01,0
200,20.02,20.02,0
201,19.96,19.96,0
202,19.96,19.96,0
203,20.08,20.08,0
204,20.05,20.05,0
205,19.61,19.61,0
206,19.77,19.77,0
207,19.61,19.61,0
208,19.53,19.53,0
209,19.56,19.56,0
210,19.73,19.73,0
211,19.85,19.85,0
212,19.36,19.36,0
213,19.56,19.56,0
214,19.79,19.79,0
215,19.94,19.94,0
216,20.01,20.01,0
217,19.86,19.86,0
218,19.82,19.82,0
219,19.72,19.72,0
220,19.86,19.86,0
221,19.93,19.93,0
222,19.88,19.88,0
223,20.16,20.16,0
224,20.32,20.32,0
225,20.18,20.18,0
226,19.56,19.56,0
227,19.37,19.37,0
228,19.51,19.51,0
229,19.66,19.66,0
230,19,19,0
231,19.31,19.31,0
232,19.45,19.45,0
233,19.4,19.4,0
234,19.4,19.4,0
235,19.72,19.72,0
236,19.68,19.68,0
237,19.67,19.67,0
238,19.43,19.43,0
239,19.33,19.33,0
240,19.85,19.85,0
241,19.96,19.96,0
242,19.97,19.97,0
243,19.98,19.98,0
244,20.07,20.07,0
245,19.92,19.92,0
246,20.3,20.3,0
247,20.38,20.38,0
248,20.43,20.43,0
249,20.77,20.77,0
250,20.69,20.69,0
251,20.87,20.87,0
252,20.87,20.87,0
253,21,21,0
254,21.12,21.12,0
255,20.85,20.85,0
256,21.19,21.19,0
257,21.11,21.11,0
258,21.3,21.3,0
259,21.46,21.46,0
260,21.55,21.55,0
261,21.4,21.4,0
262,21.36,21.36,0
263,21.18,21.18,0
264,21.26,21.26,0
265,21.16,21.16,0
266,21.03,21.03,0
267,21.26,21.26,0
268,21.67,21.67,0
269,21.74,21.74,0
270,21.66,21.66,0
271,21.77,21.77,0
272,21.96,21.96,0
273,22.2,22.2,0
274,22.12,22.12,0
275,21.99,21.99,0
276,22.09,22.09,0
277,22.17,22.17,0
278,22.18,22.18,0
279,22.12,22.12,0
280,22,22,0
281,22.13,22.13,0
282,21.83,21.83,0
283,21.79,21.79,0
284,21.86,21.86,0
285,21.92,21.92,0
286,21.93,21.93,0
287,21.76,21.76,0
288,21.8,21.8,0
289,21.85,21.85,0
290,21.93,21.93,0
291,21.79,21.79,0
292,21.79,21.79,0
293,21.86,21.86,0
294,21.95,21.95,0
295,21.95,21.95,0
296,21.7,21.7,0
297,21.41,21.41,0
298,21.25,21.25,0
299,21.29,21.29,0
300,21.64,21.64,0
301,21.56,21.56,0
302,21.52,21.52,0
303,21.64,21.64,0
304,21.73,21.73,0
305,21.53,21.53,0
306,21.51,21.51,0
307,21.26,21.26,0
308,21.33,21.33,0
309,21.48,21.48,0
310,21.32,21.32,0
311,21.26,21.26,0
312,21.4,21.4,0
313,21.69,21.69,0
314,21.72,21.72,0
315,21.68,21.68,0
316,21.65,21.65,0
317,21.64,21.64,0
318,21.83,21.83,0
319,22.09,22.09,0
320,22.04,22.04,0
321,22.09,22.09,0
322,22.13,22.13,0
323,22.04,22.04,0
324,22.04,22.04,0
325,22.05,22.05,0
326,21.96,21.96,0
327,21.97,21.97,0
328,22.16,22.16,0
329,22.39,22.39,0
330,22.43,22.43,0
331,22.53,22.53,0
332,22.62,22.62,0
333,22.81,22.81,0
334,22.77,22.77,0
335,22.63,22.63,0
336,22.61,22.61,0
337,22.64,22.64,0
338,22.51,22.51,0
339,22.33,22.33,0
340,22.18,22.18,0
341,21.76,21.76,0
342,21.69,21.69,0
343,21.91,21.91,0
344,21.51,21.51,0
345,21.46,21.46,0
346,21.36,21.36,0
347,21.16,21.16,0
348,21.05,21.05,0
349,21.03,21.03,0
350,21.21,21.21,0
351,21.35,21.35,0
352,21.52,21.52,0
353,21.48,21.48,0
354,21.24,21.24,0
355,21.33,21.33,0
356,21.48,21.48,0
357,21.56,21.56,0
358,21.49,21.49,0
359,21.61,21.61,0
360,21.52,21.52,0
361,21.55,21.55,0
362,21.84,21.84,0
363,22.04,22.04,0
364,22.05,22.05,0
365,22.02,22.02,0
366,21.91,21.91,0
367,21.78,21.78,0
368,21.55,21.55,0
369,21.29,21.29,0
370,21.3,21.3,0
371,21.37,21.37,0
372,21.1,21.1,0
373,20.96,20.96,0
374,21.1,21.1,0
375,21.23,21.23,0
376,21.64,21.64,0
377,21.64,21.64,0
378,21.73,21.73,0
379,21.63,21.63,0
380,21.68,21.68,0
381,21.8,21.8,0
382,21.98,21.98,0
383,21.73,21.73,0
384,21.92,21.92,0
385,21.88,21.88,0
386,21.84,21.84,0
387,21.88,21.88,0
388,22.1,22.1,0
389,22.44,22.44,0
390,22.32,22.32,0
391,22.47,22.47,0
392,22.53,22.53,0
393,22.63,22.63,0
394,22.4,22.4,0
395,22.51,22.51,0
396,22.82,22.82,0
397,22.85,22.85,0
398,23.01,23.01,0
399,23.03,23.03,0
400,22.93,22.93,0
401,22.84,22.84,0
402,22.79,22.79,0
403,22.8,22.8,0
404,22.7,22.7,0
405,22.79,22.79,0
406,22.87,22.87,0
407,22.94,22.94,0
408,22.93,22.93,0
409,22.83,22.83,0
410,22.75,22.75,0
411,22.9,22.9,0
412,22.88,22.88,0
413,22.85,22.85,0
414,22.9,22.9,0
415,23.08,23.08,0
416,23.24,23.24,0
417,23.28,23.28,0
418,23.28,23.28,0
419,23.42,23.42,0
420,23.47,23.47,0
421,23.53,23.53,0
422,23.62,23.62,0
423,23.5,23.5,0
424,23.6,23.6,0
425,23.71,23.71,0
426,23.69,23.69,0
427,23.62,23.62,0
428,23.59,23.59,0
