,Open,Close,"SI(C2>B2,1,0)"
0,71.55,70.96,0
1,70.96,71.13,1
2,71.13,70.64,0
3,70.64,69.66,0
4,69.66,69.12,0
5,69.12,69.15,1
6,69.15,68.96,0
7,68.96,69.37,1
8,69.37,69.61,1
9,69.61,69.47,0
10,69.47,69.07,0
11,69.07,68.32,0
12,68.32,68.39,1
13,68.39,68.75,1
14,68.75,68.81,1
15,68.81,68.29,0
16,68.29,68.4,1
17,68.4,68.35,0
18,68.35,68.13,0
19,68.13,67.9,0
20,67.9,68.17,1
21,68.17,68.84,1
22,68.84,69.26,1
23,69.26,69.81,1
24,69.81,69.88,1
25,69.88,69.96,1
26,69.96,70.42,1
27,70.42,70.58,1
28,70.58,70.48,0
29,70.48,70.46,0
30,70.46,70.45,0
31,70.45,70.42,0
32,70.42,70.74,1
33,70.74,70.59,0
34,70.59,70.41,0
35,70.41,70.66,1
36,70.66,70.32,0
37,70.32,70.16,0
38,70.16,69.76,0
39,69.76,69.89,1
40,69.89,69.96,1
41,69.96,70.2,1
42,70.16,70.01,0
43,70.01,69.78,0
44,69.78,69.69,0
45,69.69,70.19,1
46,70.19,70.42,1
47,70.42,70.4,0
48,70.4,70.6,1
49,70.6,70.91,1
50,70.91,71.06,1
51,71.06,70.94,0
52,70.94,70.85,0
53,70.85,70.66,0
54,70.66,70.51,0
55,70.51,70.4,0
56,70.4,70.45,1
57,70.45,69.89,0
58,69.89,69.7,0
59,69.7,70.04,1
60,70.04,70.01,0
61,70.01,69.55,0
62,69.55,69.37,0
63,69.37,68.81,0
64,68.81,68.49,0
65,68.49,68.91,1
66,68.91,68.84,0
67,68.84,68.31,0
68,68.31,68.56,1
69,68.56,68.41,0
70,68.41,67.9,0
71,67.9,67.6,0
72,67.6,67.9,1
73,67.9,68.27,1
74,68.27,68.59,1
75,68.59,68.53,0
76,68.53,68.46,0
77,68.46,67.71,0
78,67.71,67.05,0
79,67.05,66.3,0
80,66.3,65.24,0
81,65.24,65.7,1
82,65.7,65.99,1
83,65.99,66.53,1
84,66.53,66.24,0
85,66.24,66.02,0
86,66.02,65.17,0
87,65.17,64.26,0
88,64.26,63.57,0
89,63.57,62.65,0
90,62.65,63.1,1
91,63.41,64.29,1
92,64.29,64.27,0
93,64.27,63.93,0
94,63.93,63.82,0
95,63.82,63.59,0
96,63.59,62.34,0
97,62.34,61.11,0
98,61.11,60.62,0
99,60.62,59.47,0
100,59.15,55.5,0
101,55.5,58.08,1
102,58.8,59.63,1
103,59.63,59.38,0
104,59.12,57.27,0
105,57.27,57.57,1
106,57.64,58.39,1
107,58.39,58.4,1
108,58.4,58.45,1
109,58.45,57.82,0
110,57.66,56.34,0
111,56.34,55.5,0
112,55.5,54.33,0
113,54.33,55.89,1
114,55.89,55.74,0
115,55.74,55.54,0
116,55.54,54.78,0
117,54.78,53.59,0
118,53.59,52.68,0
119,52.68,52.45,0
120,52.45,52.32,0
121,52.32,52.6,1
122,52.98,54.41,1
123,54.41,54.75,1
124,54.75,55.86,1
125,55.86,56.49,1
126,56.49,56.81,1
127,56.73,56.17,0
128,56.17,56.55,1
129,56.99,57.2,1
130,57.2,57.73,1
131,57.73,58.03,1
132,58.03,57.83,0
133,57.83,56.78,0
134,56.78,56.2,0
135,56.2,56.42,1
136,56.42,56.81,1
137,56.81,56.8,0
138,56.8,56.36,0
139,56.36,56.46,1
140,56.46,56.77,1
141,56.77,57.2,1
142,57.2,57.83,1
143,57.83,58.23,1
144,58.23,57.75,0
145,57.75,57.98,1
146,57.98,58.12,1
147,58.12,57.75,0
148,57.75,57.36,0
149,57.36,57.51,1
150,57.51,57.57,1
151,57.57,57.55,0
152,57.55,57.63,1
153,57.63,58.25,1
154,58.25,58.66,1
155,58.66,58.64,0
156,58.64,59.01,1
157,59.01,59.37,1
158,59.37,59.12,0
159,59.12,59.78,1
160,59.78,59.7,0
161,59.7,59.58,0
162,59.58,59.55,0
163,59.55,58.79,0
164,58.79,58.66,0
165,58.66,58.68,1
166,58.68,59.12,1
167,59.12,58.56,0
168,58.56,58.12,0
169,58.12,58.36,1
170,58.36,58.38,1
171,58.38,58.45,1
172,58.45,58.59,1
173,58.59,58.84,1
174,58.84,58.7,0
175,58.7,58.89,1
176,58.89,59.08,1
177,59.08,59.03,0
178,59.03,58.95,0
179,58.95,58.54,0
180,58.54,57.69,0
181,57.45,56.63,0
182,56.63,56.96,1
183,56.96,56.15,0
184,56.15,55.77,0
185,55.77,56.27,1
186,56.27,55.49,0
187,55.49,56.1,1
188,56.1,56.16,1
189,56.16,56.7,1
190,56.7,57.07,1
191,57.07,57.2,1
192,57.2,57.24,1
193,57.24,57.05,0
194,57.05,56.95,0
195,56.95,57.27,1
196,57.27,57.08,0
197,57.08,56.89,0
198,56.89,56.34,0
199,56.34,55.59,0
200,55.48,54.96,0
201,54.96,53.49,0
202,53.49,55.21,1
203,55.17,54.69,0
204,54.69,54.54,0
205,55.34,55.72,1
206,55.72,56.54,1
207,56.54,56.52,0
208,56.52,57.12,1
209,57.12,57.75,1
210,57.75,58.35,1
211,58.35,58.71,1
212,58.71,58.32,0
213,58.32,58.78,1
214,58.78,59.59,1
215,59.59,59.46,0
216,59.46,60.16,1
217,60.16,59.97,0
218,59.97,60.16,1
219,60.16,59.82,0
220,59.82,60.45,1
221,60.45,60.81,1
222,60.81,61.54,1
223,61.54,61.36,0
224,61.36,61.73,1
225,61.73,62.12,1
226,62.12,62.41,1
227,62.41,62.26,0
228,62.26,61.94,0
229,61.94,62.64,1
230,62.64,62.39,0
231,62.39,62.93,1
232,62.93,63.06,1
233,63.06,62.27,0
234,62.27,62.32,1
235,62.32,62.63,1
236,62.63,62.42,0
237,62.42,62.57,1
238,62.57,62.37,0
239,62.37,62.07,0
240,62.07,62.58,1
241,62.58,62.82,1
242,62.82,62.64,0
243,62.64,62.63,0
244,62.63,63.02,1
245,63.02,62.93,0
246,62.93,62.96,1
247,62.96,63.1,1
248,63.1,62.69,0
249,62.69,63.72,1
250,63.72,64.13,1
251,64.13,64.12,0
252,64.12,64.74,1
253,64.74,64.59,0
254,64.59,64.71,1
255,64.71,64.85,1
256,64.85,65.2,1
257,65.2,65.11,0
258,65.11,64.67,0
259,64.67,65.13,1
260,65.13,65.18,1
261,65.18,65.28,1
262,65.28,65.44,1
263,65.44,65.62,1
264,65.62,65.75,1
265,65.75,65.92,1
266,65.92,66.24,1
267,66.24,66.23,0
268,66.23,65.85,0
269,65.85,66.2,1
270,66.31,66.17,0
271,66.17,66.11,0
272,66.11,66.4,1
273,66.4,66.17,0
274,66.17,65.76,0
275,65.76,65.83,1
276,65.83,66.15,1
277,66.15,66.35,1
278,66.35,66.41,1
279,66.41,66.52,1
280,66.52,66.2,0
281,66.2,65.83,0
282,65.83,65.92,1
283,65.92,65.46,0
284,65.46,65.47,1
285,65.47,65.01,0
286,65.01,64.29,0
287,64.29,64.1,0
288,64.1,64.72,1
289,64.72,64.74,1
290,64.74,64.85,1
291,64.85,65.26,1
292,65.26,65.33,1
293,65.33,65.51,1
294,65.51,65.67,1
295,65.67,65.91,1
296,65.91,65.6,0
297,65.6,65.93,1
298,65.93,65.61,0
299,65.61,65.47,0
300,65.47,65.95,1
301,65.95,65.85,0
302,65.85,66.19,1
303,66.19,66.21,1
304,66.21,66.4,1
305,66.4,66.68,1
306,66.68,66.58,0
307,66.58,66.57,0
308,66.57,66.85,1
309,66.85,66.84,0
310,66.84,67.36,1
311,67.36,67.85,1
312,67.85,68.28,1
313,68.28,68.52,1
314,68.52,68.45,0
315,68.45,68.29,0
316,68.29,68.77,1
317,68.77,69.09,1
318,69.09,69.14,1
319,69.14,68.92,0
320,68.92,68.89,0
321,68.89,69.23,1
322,69.23,69.3,1
323,69.3,69.53,1
324,69.53,69.72,1
325,69.72,69.76,1
326,69.76,69.7,0
327,69.7,69.65,0
328,69.65,69.8,1
329,69.8,69.97,1
330,69.97,70.17,1
331,70.17,70.03,0
332,70.03,69.53,0
333,69.53,69.44,0
334,69.44,70.01,1
335,70.01,70.35,1
336,70.35,70.52,1
337,70.52,70.48,0
338,70.48,70.21,0
339,70.21,70.43,1
340,70.43,70.25,0
341,70.25,70.29,1
342,70.29,69.96,0
343,69.96,70.14,1
344,70.14,70.1,0
345,70.1,70.02,0
346,70.02,69.87,0
347,69.87,70.01,1
348,70.01,70.33,1
349,70.33,70.8,1
350,70.8,70.69,0
351,70.69,70.7,1
352,70.7,70.53,0
353,70.53,70.58,1
354,70.58,70.41,0
355,70.41,69.94,0
356,69.94,70.03,1
