,Open,Close,"SI(C2>B2,1,0)"
0,1113.56006,1108.35999,0
1,1108.35999,1110.10999,1
2,1110.10999,1103.52002,0
3,1103.52002,1110.06006,1
4,1110.06006,1114.80005,1
5,1114.80005,1114.57996,0
6,1114.57996,1131.5,1
7,1131.5,1135.17004,1
8,1135.17004,1134.47998,0
9,1134.47998,1142.05005,1
10,1142.05005,1130.65002,0
11,1130.65002,1122.14002,0
12,1122.14002,1124.39002,1
13,1124.39002,1121.83997,0
14,1121.83997,1113.65002,0
15,1113.65002,1103.29004,0
16,1103.29004,1108.19995,1
17,1108.19995,1114.02002,1
18,1114.02002,1103.22998,0
19,1103.22998,1103.66003,1
20,1103.66003,1106.48999,1
21,1106.48999,1095.73999,0
22,1095.73999,1094.80005,0
23,1094.81006,1111.08997,1
24,1111.08997,1125.40002,1
25,1125.33997,1127.43994,1
26,1127.43994,1130.19995,1
27,1130.19995,1130.51001,1
28,1130.51001,1130.56006,1
29,1130.54004,1143.19995,1
30,1143.19995,1161.67004,1
31,1161.67004,1166.17004,1
32,1166.17004,1164.89002,0
33,1164.89002,1164.07996,0
34,1164.07996,1162.91003,0
35,1162.91003,1173.47998,1
36,1173.47998,1184.17004,1
37,1184.17004,1183.81006,0
38,1183.81006,1175.43005,0
39,1175.43005,1181.93994,1
40,1181.93994,1183.55005,1
41,1183.55005,1170.33997,0
42,1170.33997,1177.23999,1
43,1177.23999,1176.93994,0
44,1176.93994,1181.76001,1
45,1181.76001,1182.65002,1
46,1182.65002,1178.56995,0
47,1178.56995,1173.81995,0
48,1173.78003,1191.37,1
49,1191.37,1190.32996,0
50,1190.32996,1191.17004,1
51,1191.17004,1190.25,0
52,1190.25,1177.06995,0
53,1177.06995,1182.81006,1
54,1182.81006,1189.23999,1
55,1189.23999,1188,0
56,1188,1198.68005,1
57,1198.68005,1203.38001,1
58,1203.38001,1205.71997,1
59,1205.71997,1203.20996,0
60,1203.20996,1194.19995,0
61,1194.19995,1194.65002,1
62,1194.65002,1205.44995,1
63,1205.44995,1209.56995,1
64,1209.56995,1210.13001,1
65,1210.13001,1204.92004,0
66,1204.92004,1213.54004,1
67,1213.54004,1213.44995,0
68,1213.44995,1213.55005,1
69,1213.55005,1211.92004,0
70,1211.92004,1202.07996,0
71,1202.07996,1188.05005,0
72,1188.05005,1183.73999,0
73,1183.73999,1187.89002,1
74,1187.89002,1186.18994,0
75,1186.18994,1190.25,1
76,1190.25,1182.98999,0
77,1182.98999,1187.69995,1
78,1187.69995,1177.44995,0
79,1177.44995,1184.52002,1
80,1184.52002,1195.97998,1
81,1195.97998,1184.63001,0
82,1184.63001,1175.41003,0
83,1175.41003,1167.87,0
84,1167.87,1163.75,0
85,1163.75,1168.41003,1
86,1168.41003,1174.06995,1
87,1174.06995,1174.55005,1
88,1174.55005,1171.35999,0
89,1171.35999,1181.27002,1
90,1181.27002,1189.41003,1
91,1189.41003,1193.18994,1
92,1193.18994,1189.89002,0
93,1189.89002,1203.03003,1
94,1203.03003,1201.71997,0
95,1201.71997,1202.30005,1
96,1202.30005,1191.98999,0
97,1191.98999,1197.01001,1
98,1197.01001,1205.30005,1
99,1205.30005,1206.14002,1
100,1206.14002,1210.12,1
101,1210.12,1210.33997,1
102,1210.33997,1200.75,0
103,1200.75,1201.58997,1
104,1201.58997,1184.16003,0
105,1184.16003,1190.80005,1
106,1190.80005,1200.19995,1
107,1200.19995,1211.37,1
108,1211.37,1203.59998,0
109,1203.59998,1210.41003,1
110,1210.41003,1210.07996,0
111,1210.07996,1210.46997,1
112,1210.46997,1222.12,1
113,1222.12,1225.31006,1
114,1225.31006,1219.43005,0
115,1219.43005,1207.01001,0
116,1207.01001,1209.25,1
117,1209.25,1200.07996,0
118,1200.07996,1206.82996,1
119,1206.82996,1197.75,0
120,1197.75,1188.06995,0
121,1188.06995,1190.20996,1
122,1190.20996,1189.65002,0
123,1189.65002,1183.78003,0
124,1183.78003,1171.70996,0
125,1171.70996,1172.53003,1
126,1172.53003,1171.42004,0
127,1171.42004,1174.28003,1
128,1174.28003,1165.35999,0
129,1165.35999,1181.41003,1
130,1181.41003,1180.58997,0
131,1180.58997,1172.92004,0
132,1172.79004,1176.12,1
133,1176.12,1181.39002,1
134,1181.39002,1184.06995,1
135,1184.06995,1191.14002,1
136,1191.14002,1181.19995,0
137,1181.19995,1181.20996,1
138,1181.20996,1187.76001,1
139,1187.76001,1173.79004,0
140,1173.79004,1162.05005,0
141,1162.05005,1142.62,0
142,1142.62,1145.97998,1
143,1145.97998,1152.78003,1
144,1152.78003,1137.5,0
145,1137.5,1159.94995,1
146,1159.94995,1152.12,0
147,1152.12,1162.09998,1
148,1162.09998,1151.82996,0
149,1151.73999,1156.38001,1
150,1156.38001,1143.21997,0
151,1143.21997,1156.84998,1
152,1156.84998,1162.16003,1
153,1162.16003,1161.17004,0
154,1161.17004,1175.65002,1
155,1175.65002,1172.63001,0
156,1172.63001,1171.34998,0
157,1171.34998,1178.83997,1
158,1178.83997,1166.21997,0
159,1166.21997,1171.10999,1
160,1171.10999,1159.35999,0
161,1159.35999,1154.05005,0
162,1154.05005,1165.68994,1
163,1165.68994,1173.80005,1
164,1173.80005,1185.56006,1
165,1185.56006,1191.07996,1
166,1191.07996,1189.28003,0
167,1189.28003,1193.85999,1
168,1193.85999,1194.06995,1
169,1194.06995,1190.01001,0
170,1190.01001,1197.62,1
171,1197.62,1198.78003,1
172,1198.78003,1191.5,0
173,1191.5,1202.21997,1
174,1202.27002,1204.29004,1
175,1204.29004,1196.02002,0
176,1196.02002,1197.51001,1
177,1197.51001,1197.26001,0
178,1197.26001,1194.67004,0
179,1194.67004,1200.93005,1
180,1200.93005,1198.10999,0
181,1198.10999,1200.81995,1
182,1200.81995,1203.91003,1
183,1203.91003,1206.57996,1
184,1206.55005,1210.95996,1
185,1210.93005,1216.95996,1
186,1216.95996,1216.09998,0
187,1216.09998,1213.60999,0
188,1213.60999,1213.88001,1
189,1213.88001,1200.72998,0
190,1200.72998,1191.56995,0
191,1191.56995,1190.68994,0
192,1190.68994,1201.56995,1
193,1201.56995,1199.84998,0
194,1199.84998,1191.32996,0
195,1191.32996,1194.43994,1
196,1194.43994,1204.98999,1
197,1204.98999,1194.93994,0
198,1194.93994,1197.87,1
199,1197.87,1211.85999,1
200,1211.85999,1219.43994,1
201,1219.43994,1222.20996,1
202,1222.20996,1223.29004,1
203,1223.29004,1226.5,1
204,1226.5,1227.92004,1
205,1227.92004,1221.13001,0
206,1221.13001,1229.34998,1
207,1229.34998,1235.19995,1
208,1235.19995,1227.04004,0
209,1227.04004,1233.68005,1
210,1233.68005,1229.03003,0
211,1229.03003,1231.16003,1
212,1231.16003,1236.79004,1
213,1236.79004,1243.71997,1
214,1243.71997,1234.18005,0
215,1234.18005,1235.34998,1
216,1235.34998,1244.12,1
217,1244.12,1245.04004,1
218,1245.04004,1235.85999,0
219,1235.85999,1226.42004,0
220,1226.42004,1223.13001,0
221,1223.13001,1231.38001,1
222,1231.38001,1229.13001,0
223,1229.13001,1237.81006,1
224,1237.81006,1230.39002,0
225,1230.40002,1233.87,1
226,1233.87,1219.33997,0
227,1219.33997,1220.23999,1
228,1220.23999,1219.02002,0
229,1219.02002,1219.70996,1
230,1219.70996,1221.72998,1
231,1221.72998,1217.58997,0
232,1217.56995,1209.58997,0
233,1209.58997,1212.37,1
234,1212.40002,1205.09998,0
235,1205.09998,1212.28003,1
236,1212.28003,1208.41003,0
237,1208.41003,1220.32996,1
238,1220.32996,1221.58997,1
239,1221.58997,1218.02002,0
240,1218.02002,1233.39002,1
241,1233.39002,1236.35999,1
242,1236.35999,1231.67004,0
243,1231.67004,1241.47998,1
244,1241.47998,1240.56006,0
245,1240.56995,1231.19995,0
246,1231.19995,1227.16003,0
247,1227.16003,1227.72998,1
248,1228.42004,1237.91003,1
249,1237.91003,1231.02002,0
250,1231.02002,1221.33997,0
251,1221.33997,1210.19995,0
252,1210.19995,1214.62,1
253,1214.62,1215.29004,1
254,1215.29004,1215.63001,1
255,1215.63001,1215.66003,1
256,1215.66003,1216.89002,1
257,1216.89002,1227.68005,1
258,1227.68005,1228.81006,1
259,1228.81006,1226.69995,0
260,1226.69995,1214.46997,0
261,1214.46997,1196.39002,0
262,1196.39002,1191.48999,0
263,1191.48999,1195.90002,1
264,1195.90002,1187.32996,0
265,1187.32996,1184.87,0
266,1184.87,1177.68005,0
267,1177.68005,1176.83997,0
268,1176.83997,1186.56995,1
269,1186.56995,1190.09998,1
270,1190.09998,1178.14002,0
271,1178.14002,1195.76001,1
272,1195.76001,1177.80005,0
273,1177.80005,1179.58997,1
274,1179.58997,1199.38001,1
275,1199.38001,1196.54004,0
276,1196.54004,1191.38001,0
277,1191.38001,1178.90002,0
278,1178.90002,1198.41003,1
279,1198.41003,1207.01001,1
280,1207.01001,1202.76001,0
281,1202.76001,1214.76001,1
282,1214.76001,1219.93994,1
283,1219.93994,1220.14002,1
284,1220.14002,1222.81006,1
285,1222.81006,1218.58997,0
286,1218.58997,1220.65002,1
287,1220.65002,1230.95996,1
288,1230.95996,1234.71997,1
289,1234.71997,1233.76001,0
290,1233.76001,1229.01001,0
291,1229.01001,1231.20996,1
292,1231.20996,1242.80005,1
293,1242.80005,1248.27002,1
294,1248.27002,1254.84998,1
295,1254.84998,1261.22998,1
296,1261.22998,1265.60999,1
297,1265.60999,1268.25,1
298,1268.25,1257.45996,0
299,1257.45996,1257.47998,1
300,1257.47998,1249.47998,0
301,1249.47998,1264.67004,1
302,1264.67004,1265.07996,1
303,1265.07996,1262.08997,0
304,1262.08997,1263.69995,1
305,1263.69995,1257.37,0
306,1257.37,1255.83997,0
307,1255.83997,1259.37,1
308,1259.37,1260.43005,1
309,1260.43005,1267.43005,1
310,1267.43005,1272.73999,1
311,1272.73999,1270.93994,0
312,1270.93994,1267.31995,0
313,1267.31995,1259.92004,0
314,1259.92004,1259.62,0
315,1259.62,1262.79004,1
316,1262.79004,1268.12,1
317,1268.12,1268.66003,1
318,1268.66003,1256.54004,0
319,1256.54004,1258.17004,1
320,1258.17004,1254.42004,0
321,1254.42004,1248.29004,0
322,1248.29004,1268.80005,1
323,1268.80005,1273.45996,1
324,1273.45996,1273.47998,1
325,1273.47998,1285.44995,1
326,1285.44995,1290.15002,1
327,1290.15002,1289.68994,0
328,1289.71997,1294.18005,1
329,1294.18005,1286.06006,0
330,1286.06006,1287.60999,1
331,1287.60999,1282.93005,0
332,1282.93005,1277.93005,0
333,1277.93005,1285.04004,1
334,1285.04004,1261.48999,0
335,1261.48999,1263.81995,1
336,1263.81995,1266.85999,1
337,1266.85999,1264.68005,0
338,1264.68005,1273.82996,1
339,1273.82996,1283.71997,1
340,1283.71997,1285.18994,1
341,1285.19995,1280.07996,0
342,1280.07996,1282.45996,1
343,1282.45996,1270.83997,0
344,1270.83997,1264.03003,0
345,1264.03003,1265.02002,1
346,1265.02002,1254.78003,0
347,1254.78003,1265.65002,1
348,1265.65002,1263.78003,0
349,1263.81995,1266.98999,1
350,1266.98999,1262.85999,0
351,1262.85999,1275.53003,1
352,1275.53003,1280,1
353,1280,1289.38001,1
354,1289.38001,1287.23999,0
355,1287.23999,1283.03003,0
356,1283.03003,1292.67004,1
357,1292.67004,1287.79004,0
358,1287.79004,1289.43005,1
359,1289.43005,1294.12,1
360,1294.12,1280.66003,0
361,1280.66003,1291.23999,1
362,1291.23999,1289.14002,0
363,1289.14002,1287.22998,0
364,1287.22998,1278.26001,0
365,1278.26001,1275.88001,0
366,1275.88001,1278.46997,1
367,1278.46997,1272.22998,0
368,1272.22998,1281.42004,1
369,1281.57996,1284.13001,1
370,1284.13001,1297.47998,1
371,1297.47998,1303.02002,1
372,1303.02002,1305.32996,1
373,1305.32996,1307.25,1
374,1307.25,1305.07996,0
375,1305.07996,1297.22998,0
376,1297.22998,1305.04004,1
377,1305.04004,1301.67004,0
378,1301.67004,1302.94995,1
379,1302.94995,1301.60999,0
380,1301.60999,1293.22998,0
381,1293.22998,1302.89002,1
382,1302.89002,1300.25,0
383,1300.25,1294.87,0
384,1302.88001,1297.81006,0
385,1297.81006,1305.93005,1
