Date,Open,High,Low,Close,Adj Close,Volume
03/01/1950,16.66000,16.66000,16.66000,16.66000,16.66000,1260000
04/01/1950,16.85000,16.85000,16.85000,16.85000,16.85000,1890000
05/01/1950,16.93000,16.93000,16.93000,16.93000,16.93000,2550000
06/01/1950,16.98000,16.98000,16.98000,16.98000,16.98000,2010000
09/01/1950,17.08000,17.08000,17.08000,17.08000,17.08000,2520000
10/01/1950,17.03000,17.03000,17.03000,17.03000,17.03000,2160000
11/01/1950,17.09000,17.09000,17.09000,17.09000,17.09000,2630000
12/01/1950,16.76000,16.76000,16.76000,16.76000,16.76000,2970000
13/01/1950,16.67000,16.67000,16.67000,16.67000,16.67000,3330000
16/01/1950,16.72000,16.72000,16.72000,16.72000,16.72000,1460000
17/01/1950,16.86000,16.86000,16.86000,16.86000,16.86000,1790000
18/01/1950,16.85000,16.85000,16.85000,16.85000,16.85000,1570000
19/01/1950,16.87000,16.87000,16.87000,16.87000,16.87000,1170000
20/01/1950,16.90000,16.90000,16.90000,16.90000,16.90000,1440000
23/01/1950,16.92000,16.92000,16.92000,16.92000,16.92000,1340000
24/01/1950,16.86000,16.86000,16.86000,16.86000,16.86000,1250000
25/01/1950,16.74000,16.74000,16.74000,16.74000,16.74000,1700000
26/01/1950,16.73000,16.73000,16.73000,16.73000,16.73000,1150000
27/01/1950,16.82000,16.82000,16.82000,16.82000,16.82000,1250000
30/01/1950,17.02000,17.02000,17.02000,17.02000,17.02000,1640000
31/01/1950,17.05000,17.05000,17.05000,17.05000,17.05000,1690000
01/02/1950,17.05000,17.05000,17.05000,17.05000,17.05000,1810000
02/02/1950,17.23000,17.23000,17.23000,17.23000,17.23000,2040000
03/02/1950,17.29000,17.29000,17.29000,17.29000,17.29000,2210000
06/02/1950,17.32000,17.32000,17.32000,17.32000,17.32000,1490000
07/02/1950,17.23000,17.23000,17.23000,17.23000,17.23000,1360000
08/02/1950,17.21000,17.21000,17.21000,17.21000,17.21000,1470000
09/02/1950,17.28000,17.28000,17.28000,17.28000,17.28000,1810000
10/02/1950,17.24000,17.24000,17.24000,17.24000,17.24000,1790000
14/02/1950,17.06000,17.06000,17.06000,17.06000,17.06000,2210000
15/02/1950,17.06000,17.06000,17.06000,17.06000,17.06000,1730000
16/02/1950,16.99000,16.99000,16.99000,16.99000,16.99000,1920000
17/02/1950,17.15000,17.15000,17.15000,17.15000,17.15000,1940000
20/02/1950,17.20000,17.20000,17.20000,17.20000,17.20000,1420000
21/02/1950,17.17000,17.17000,17.17000,17.17000,17.17000,1260000
23/02/1950,17.21000,17.21000,17.21000,17.21000,17.21000,1310000
24/02/1950,17.28000,17.28000,17.28000,17.28000,17.28000,1710000
27/02/1950,17.28000,17.28000,17.28000,17.28000,17.28000,1410000
28/02/1950,17.22000,17.22000,17.22000,17.22000,17.22000,1310000
01/03/1950,17.24000,17.24000,17.24000,17.24000,17.24000,1410000
02/03/1950,17.23000,17.23000,17.23000,17.23000,17.23000,1340000
03/03/1950,17.29000,17.29000,17.29000,17.29000,17.29000,1520000
06/03/1950,17.32000,17.32000,17.32000,17.32000,17.32000,1470000
07/03/1950,17.20000,17.20000,17.20000,17.20000,17.20000,1590000
08/03/1950,17.19000,17.19000,17.19000,17.19000,17.19000,1360000
09/03/1950,17.07000,17.07000,17.07000,17.07000,17.07000,1330000
10/03/1950,17.09000,17.09000,17.09000,17.09000,17.09000,1260000
13/03/1950,17.12000,17.12000,17.12000,17.12000,17.12000,1060000
14/03/1950,17.25000,17.25000,17.25000,17.25000,17.25000,1140000
15/03/1950,17.45000,17.45000,17.45000,17.45000,17.45000,1830000
16/03/1950,17.49000,17.49000,17.49000,17.49000,17.49000,2060000
17/03/1950,17.45000,17.45000,17.45000,17.45000,17.45000,1600000
20/03/1950,17.44000,17.44000,17.44000,17.44000,17.44000,1430000
21/03/1950,17.45000,17.45000,17.45000,17.45000,17.45000,1400000
22/03/1950,17.55000,17.55000,17.55000,17.55000,17.55000,2010000
23/03/1950,17.56000,17.56000,17.56000,17.56000,17.56000,2020000
24/03/1950,17.56000,17.56000,17.56000,17.56000,17.56000,1570000
27/03/1950,17.46000,17.46000,17.46000,17.46000,17.46000,1930000
28/03/1950,17.53000,17.53000,17.53000,17.53000,17.53000,1780000
29/03/1950,17.44000,17.44000,17.44000,17.44000,17.44000,2090000
30/03/1950,17.30000,17.30000,17.30000,17.30000,17.30000,2370000
31/03/1950,17.29000,17.29000,17.29000,17.29000,17.29000,1880000
03/04/1950,17.53000,17.53000,17.53000,17.53000,17.53000,1570000
04/04/1950,17.55000,17.55000,17.55000,17.55000,17.55000,2010000
05/04/1950,17.63000,17.63000,17.63000,17.63000,17.63000,1430000
06/04/1950,17.78000,17.78000,17.78000,17.78000,17.78000,2000000
10/04/1950,17.85000,17.85000,17.85000,17.85000,17.85000,2070000
11/04/1950,17.75000,17.75000,17.75000,17.75000,17.75000,2010000
12/04/1950,17.94000,17.94000,17.94000,17.94000,17.94000,2010000
13/04/1950,17.98000,17.98000,17.98000,17.98000,17.98000,2410000
14/04/1950,17.96000,17.96000,17.96000,17.96000,17.96000,2750000
17/04/1950,17.88000,17.88000,17.88000,17.88000,17.88000,2520000
18/04/1950,18.03000,18.03000,18.03000,18.03000,18.03000,3320000
19/04/1950,18.05000,18.05000,18.05000,18.05000,18.05000,2950000
20/04/1950,17.93000,17.93000,17.93000,17.93000,17.93000,2590000
