,Precio,VN,PXQ,Hora,Min,Segundo,Mayor Vol,Menor Vol,Igual Vol,Si es 1 es igual si es cero es MAYOR O MENOR
0, 1.70 , 3 , 5.10 ,11,16,40,0,0,1,1
1, 1.70 , 3 , 5.10 ,11,25,45,0,0,1,1
2, 1.72 , 425 , 731.00 ,11,33,36,1,0,0,0
3, 1.70 , 2 , 3.40 ,11,50,7,0,1,0,0
4, 1.73 ," 2,200 "," 3,806.00 ",11,51,17,1,0,0,0
5, 1.73 ," 2,800 "," 4,844.00 ",11,56,11,1,0,0,1
6, 1.72 ," 9,177 "," 15,784.44 ",12,1,22,1,0,0,0
7, 1.72 , 823 ," 1,415.56 ",12,3,12,0,1,0,1
8, 1.71 ," 25,000 "," 42,750.00 ",12,10,6,1,0,0,0
9, 1.70 ," 2,000 "," 3,400.00 ",12,27,18,0,1,0,0
10, 1.69 , 433 , 731.77 ,12,35,25,0,1,0,0
11, 1.69 , 4 , 6.76 ,12,38,38,0,1,0,1
12, 1.71 ," 2,500 "," 4,275.00 ",12,45,25,1,0,0,0
13, 1.71 ," 3,500 "," 5,985.00 ",12,45,55,1,0,0,1
14, 1.71 ," 1,390 "," 2,376.90 ",12,46,33,0,1,0,1
15, 1.71 ," 2,610 "," 4,463.10 ",12,46,53,1,0,0,1
16, 1.71 , 937 ," 1,602.27 ",12,48,8,0,1,0,1
17, 1.72 ," 5,000 "," 8,600.00 ",12,52,7,1,0,0,0
18, 1.72 ," 6,677 "," 11,484.44 ",12,52,7,1,0,0,1
19, 1.72 ," 4,000 "," 6,880.00 ",13,3,17,0,1,0,1
20, 1.70 , 2 , 3.40 ,13,3,32,0,1,0,0
21, 1.72 ," 5,000 "," 8,600.00 ",13,5,28,1,0,0,0
22, 1.72 ," 2,949 "," 5,072.28 ",13,13,26,0,1,0,1
23, 1.72 ," 6,051 "," 10,407.72 ",13,13,26,1,0,0,1
24, 1.72 , 1 , 1.72 ,13,18,10,0,1,0,1
25, 1.72 ," 2,390 "," 4,110.80 ",13,19,30,1,0,0,1
26, 1.72 ," 9,000 "," 15,480.00 ",13,21,40,1,0,0,1
27, 1.71 , 2 , 3.42 ,13,21,55,0,1,0,0
28, 1.72 , 159 , 273.48 ,13,22,33,1,0,0,0
29, 1.71 , 4 , 6.84 ,13,31,40,0,1,0,0
30, 1.72 ," 10,000 "," 17,200.00 ",13,34,13,1,0,0,0
31, 1.72 , 641 ," 1,102.52 ",13,35,45,0,1,0,1
32, 1.72 , 789 ," 1,357.08 ",13,35,45,1,0,0,1
33, 1.72 ," 1,172 "," 2,015.84 ",13,37,27,1,0,0,1
34, 1.72 ," 6,328 "," 10,884.16 ",13,37,27,1,0,0,1
35, 1.72 ," 10,000 "," 17,200.00 ",13,37,54,1,0,0,1
36, 1.72 ," 4,372 "," 7,519.84 ",13,38,31,0,1,0,1
37, 1.72 , 628 ," 1,080.16 ",13,38,53,0,1,0,1
38, 1.72 , 170 , 292.40 ,13,55,33,0,1,0,1
39, 1.73 ," 11,750 "," 20,327.50 ",14,5,58,1,0,0,0
40, 1.72 , 372 , 639.84 ,14,6,19,0,1,0,0
41, 1.72 ," 1,628 "," 2,800.16 ",14,6,19,1,0,0,1
42, 1.72 , 828 ," 1,424.16 ",14,10,2,0,1,0,1
43, 1.71 ," 10,000 "," 17,100.00 ",14,14,27,1,0,0,0
44, 1.71 ," 10,000 "," 17,100.00 ",14,14,27,0,0,1,1
45, 1.71 ," 4,000 "," 6,840.00 ",14,15,29,0,1,0,1
46, 1.72 ," 5,922 "," 10,185.84 ",14,22,57,1,0,0,0
47, 1.72 ," 2,500 "," 4,300.00 ",14,24,36,0,1,0,1
48, 1.72 ," 1,578 "," 2,714.16 ",14,26,11,0,1,0,1
49, 1.72 ," 1,750 "," 3,010.00 ",14,30,17,1,0,0,1
50, 1.72 ," 22,349 "," 38,440.28 ",14,31,13,1,0,0,1
51, 1.72 ," 4,000 "," 6,880.00 ",14,33,27,0,1,0,1
52, 1.72 ," 6,901 "," 11,869.72 ",14,34,23,1,0,0,1
53, 1.72 ," 1,150 "," 1,978.00 ",14,45,10,0,1,0,1
54, 1.72 ," 2,087 "," 3,589.64 ",14,45,10,1,0,0,1
55, 1.72 , 3 , 5.16 ,14,50,0,0,1,0,1
56, 1.73 ," 5,000 "," 8,650.00 ",15,0,20,1,0,0,0
57, 1.73 ," 3,000 "," 5,190.00 ",15,0,20,0,1,0,1
58, 1.73 ," 2,500 "," 4,325.00 ",15,0,20,0,1,0,1
59, 1.73 ," 9,500 "," 16,435.00 ",15,1,18,1,0,0,1
60, 1.73 ," 11,000 "," 19,030.00 ",15,1,18,1,0,0,1
61, 1.73 ," 6,000 "," 10,380.00 ",15,4,3,0,1,0,1
62, 1.73 ," 3,500 "," 6,055.00 ",15,6,52,0,1,0,1
63, 1.73 ," 3,500 "," 6,055.00 ",15,6,52,0,0,1,1
64, 1.73 , 421 , 728.33 ,15,8,35,0,1,0,1
65, 1.73 ," 9,579 "," 16,571.67 ",15,10,36,1,0,0,1
66, 1.72 , 5 , 8.60 ,15,30,50,0,1,0,0
67, 1.73 ," 5,421 "," 9,378.33 ",15,32,38,1,0,0,0
68, 1.73 ," 17,492 "," 30,261.16 ",15,33,19,1,0,0,1
69, 1.73 ," 3,508 "," 6,068.84 ",15,42,0,0,1,0,1
70, 1.73 ," 10,000 "," 17,300.00 ",15,42,0,1,0,0,1
71, 1.73 , 190 , 328.70 ,15,42,49,0,1,0,1
72, 1.73 ," 1,492 "," 2,581.16 ",15,47,30,1,0,0,1
73, 1.73 ," 3,508 "," 6,068.84 ",15,49,39,1,0,0,1
74, 1.74 , 492 , 856.08 ,15,51,36,0,1,0,0
75, 1.74 ," 5,000 "," 8,700.00 ",15,57,11,1,0,0,1
76, 1.74 , 304 , 528.96 ,15,57,59,0,1,0,1
77, 1.74 , 204 , 354.96 ,15,58,57,0,1,0,1
78, 1.74 ," 5,000 "," 8,700.00 ",16,0,53,1,0,0,1
79, 1.74 ," 10,000 "," 17,400.00 ",16,2,20,1,0,0,1
80, 1.73 ," 2,500 "," 4,325.00 ",16,6,29,0,1,0,0
81, 1.74 ," 4,000 "," 6,960.00 ",16,9,24,1,0,0,0
82, 1.74 ," 3,051 "," 5,308.74 ",16,9,24,0,1,0,1
83, 1.74 ," 1,949 "," 3,391.26 ",16,9,24,0,1,0,1
84, 1.74 , 51 , 88.74 ,16,24,42,0,1,0,1
85, 1.74 ," 9,949 "," 17,311.26 ",16,24,42,1,0,0,1
86, 1.74 ," 2,051 "," 3,568.74 ",16,25,58,0,1,0,1
87, 1.74 ," 2,949 "," 5,131.26 ",16,25,58,1,0,0,1
88, 1.74 , 51 , 88.74 ,16,26,16,0,1,0,1
89, 1.74 ," 1,949 "," 3,391.26 ",16,29,39,1,0,0,1
90, 1.74 , 51 , 88.74 ,16,29,41,0,1,0,1
91, 1.74 ," 2,500 "," 4,350.00 ",16,30,16,1,0,0,1
92, 1.74 ," 10,000 "," 17,400.00 ",16,43,31,1,0,0,1
93, 1.75 ," 2,800 "," 4,900.00 ",16,47,30,0,1,0,0
94, 1.75 ," 2,315 "," 4,051.25 ",16,47,30,0,1,0,1
95, 1.75 ," 8,334 "," 14,584.50 ",16,47,30,1,0,0,1
96, 1.75 ," 1,666 "," 2,915.50 ",16,48,31,0,1,0,1
97, 1.75 ," 3,334 "," 5,834.50 ",16,48,31,1,0,0,1
98, 1.74 ," 9,000 "," 15,660.00 ",16,57,42,1,0,0,0
99, 1.74 ," 1,000 "," 1,740.00 ",16,57,57,0,1,0,1
100, 1.73 ," 1,000 "," 1,730.00 ",16,57,57,0,1,0,0
101, 1.74 ," 9,000 "," 15,660.00 ",16,58,25,1,0,0,0
102, 1.73 ," 6,500 "," 11,245.00 ",16,59,53,0,1,0,0
103, 1.73 ," 3,000 "," 5,190.00 ",17,1,1,0,1,0,1
104, 1.73 , 666 ," 1,152.18 ",17,1,1,0,1,0,1
105, 1.73 ," 5,000 "," 8,650.00 ",11,27,2,1,0,0,1
106, 1.73 ," 15,000 "," 25,950.00 ",11,27,22,1,0,0,1
107, 1.73 ," 4,196 "," 7,259.08 ",11,33,33,0,1,0,1
108, 1.74 ," 1,450 "," 2,523.00 ",12,0,48,0,1,0,0
109, 1.74 ," 1,456 "," 2,533.44 ",12,10,22,1,0,0,1
110, 1.74 ," 1,160 "," 2,018.40 ",12,11,53,0,1,0,1
111, 1.74 ," 3,094 "," 5,383.56 ",12,11,53,1,0,0,1
112, 1.74 ," 5,746 "," 9,998.04 ",12,12,27,1,0,0,1
113, 1.74 , 800 ," 1,392.00 ",12,15,51,0,1,0,1
114, 1.74 ," 11,192 "," 19,474.08 ",12,40,49,1,0,0,1
115, 1.74 ," 3,062 "," 5,327.88 ",13,5,25,0,1,0,1
116, 1.74 ," 4,438 "," 7,722.12 ",13,5,25,1,0,0,1
117, 1.74 ," 8,438 "," 14,682.12 ",13,5,57,1,0,0,1
118, 1.74 ," 2,562 "," 4,457.88 ",13,5,57,0,1,0,1
119, 1.74 ," 1,562 "," 2,717.88 ",13,6,20,0,1,0,1
120, 1.75 ," 5,438 "," 9,516.50 ",13,10,23,1,0,0,0
121, 1.74 , 100 , 174.00 ,13,12,36,0,1,0,0
122, 1.76 ," 2,000 "," 3,520.00 ",13,13,4,1,0,0,0
123, 1.76 ," 2,900 "," 5,104.00 ",13,13,4,1,0,0,1
124, 1.76 ," 2,100 "," 3,696.00 ",13,13,34,0,1,0,1
125, 1.76 ," 5,000 "," 8,800.00 ",13,26,47,1,0,0,1
126, 1.76 ," 7,000 "," 12,320.00 ",13,27,30,1,0,0,1
127, 1.76 ," 8,000 "," 14,080.00 ",13,28,17,1,0,0,1
128, 1.76 ," 5,000 "," 8,800.00 ",13,28,28,0,1,0,1
129, 1.76 ," 2,000 "," 3,520.00 ",13,28,41,0,1,0,1
130, 1.76 ," 3,000 "," 5,280.00 ",13,32,51,1,0,0,1
131, 1.76 ," 17,000 "," 29,920.00 ",13,32,51,1,0,0,1
132, 1.76 ," 3,000 "," 5,280.00 ",13,33,2,0,1,0,1
133, 1.76 ," 20,000 "," 35,200.00 ",13,34,31,1,0,0,1
134, 1.75 ," 2,400 "," 4,200.00 ",13,36,10,0,1,0,0
135, 1.75 ," 17,600 "," 30,800.00 ",13,53,51,1,0,0,1
136, 1.75 ," 10,000 "," 17,500.00 ",13,53,51,0,1,0,1
137, 1.75 , 400 , 700.00 ,13,58,33,0,1,0,1
138, 1.75 ," 7,500 "," 13,125.00 ",14,9,5,1,0,0,1
139, 1.75 ," 7,000 "," 12,250.00 ",14,9,40,0,1,0,1
140, 1.75 ," 5,000 "," 8,750.00 ",14,10,13,0,1,0,1
141, 1.76 ," 3,000 "," 5,280.00 ",14,19,56,0,1,0,0
142, 1.76 ," 5,000 "," 8,800.00 ",14,20,10,1,0,0,1
143, 1.76 ," 12,000 "," 21,120.00 ",14,20,18,1,0,0,1
144, 1.75 , 100 , 175.00 ,14,40,0,0,1,0,0
145, 1.75 ," 6,000 "," 10,500.00 ",14,51,47,1,0,0,1
146, 1.75 ," 3,025 "," 5,293.75 ",15,24,9,0,1,0,1
147, 1.75 ," 2,000 "," 3,500.00 ",15,24,9,0,1,0,1
148, 1.75 ," 4,875 "," 8,531.25 ",15,24,9,1,0,0,1
149, 1.75 ," 2,655 "," 4,646.25 ",15,25,19,0,1,0,1
