,Precio,VN,PXQ,Hora,Min,Segundo,Mayor,Menor,Igual,Variac c resp a precio operado anterior
0,11,"1,038.00","11,418.00",11,5,30,0,0,1,0
1,11,922,"10,142.00",11,10,47,0,0,1,0
2,11,"2,000.00","22,000.00",11,11,30,0,0,1,0
3,11,78,858,11,11,49,0,0,1,0
4,11,183,"2,013.00",11,12,2,0,0,1,0
5,11,317,"3,487.00",11,19,4,0,0,1,0
6,10.9,152,"1,656.80",11,23,28,0,1,0,-1
7,11,90,990,11,28,10,1,0,0,1
8,11.25,50,562.5,11,29,26,1,0,0,1
9,11.2,"1,000.00","11,200.00",11,31,59,0,1,0,-1
10,11.2,500,"5,600.00",11,32,51,0,0,1,0
11,11.2,"5,000.00","56,000.00",11,33,28,0,0,1,0
12,11.15,"10,000.00","111,500.00",11,33,29,0,1,0,-1
13,11.2,51,571.2,11,33,55,1,0,0,1
14,11.25,917,"10,316.25",11,35,12,1,0,0,1
15,11.25,"1,715.00","19,293.75",11,37,45,0,0,1,0
16,11.25,"2,582.00","29,047.50",11,39,3,0,0,1,0
17,11.25,"4,418.00","49,702.50",11,39,3,0,0,1,0
18,11.25,418,"4,702.50",11,46,28,0,0,1,0
19,11.25,22,247.5,11,46,28,0,0,1,0
20,11.25,"4,978.00","56,002.50",11,47,36,0,0,1,0
21,11.25,"2,500.00","28,125.00",11,51,44,0,0,1,0
22,11.25,977,"10,991.25",11,54,34,0,0,1,0
23,11.25,"1,000.00","11,250.00",11,57,44,0,0,1,0
24,11.25,"9,376.00","105,480.00",11,57,44,0,0,1,0
25,11.25,23,258.75,11,57,44,0,0,1,0
26,11.3,"3,000.00","33,900.00",11,59,13,1,0,0,1
27,11.3,317,"3,582.10",11,59,13,0,0,1,0
28,11.3,"1,683.00","19,017.90",11,59,19,0,0,1,0
29,11.3,317,"3,582.10",11,59,24,0,0,1,0
30,11.35,"1,500.00","17,025.00",11,59,34,1,0,0,1
31,11.4,"1,038.00","11,833.20",12,2,44,1,0,0,1
32,11.4,"2,470.00","28,158.00",12,3,9,0,0,1,0
33,11.4,"3,000.00","34,200.00",12,7,51,0,0,1,0
34,11.45,900,"10,305.00",12,8,37,1,0,0,1
35,11.45,80,916,12,8,52,0,0,1,0
36,11.45,"2,020.00","23,129.00",12,8,53,0,0,1,0
37,11.45,"3,000.00","34,350.00",12,8,53,0,0,1,0
38,11.45,"2,500.00","28,625.00",12,8,53,0,0,1,0
39,11.45,"3,500.00","40,075.00",12,8,53,0,0,1,0
40,11.45,80,916,12,8,53,0,0,1,0
41,11.45,320,"3,664.00",12,8,57,0,0,1,0
42,11.45,"2,500.00","28,625.00",12,8,57,0,0,1,0
43,11.5,"5,000.00","57,500.00",12,9,0,1,0,0,1
44,11.5,"13,000.00","149,500.00",12,9,0,0,0,1,0
45,11.5,415,"4,772.50",12,9,0,0,0,1,0
46,11.5,"5,000.00","57,500.00",12,9,0,0,0,1,0
47,11.5,"2,500.00","28,750.00",12,9,0,0,0,1,0
48,11.5,"1,376.00","15,824.00",12,9,0,0,0,1,0
49,11.5,"1,558.00","17,917.00",12,9,0,0,0,1,0
50,11.5,"5,000.00","57,500.00",12,9,0,0,0,1,0
51,11.6,"5,000.00","58,000.00",12,9,8,1,0,0,1
52,11.6,"1,379.00","15,996.40",12,12,13,0,0,1,0
53,11.6,"4,929.00","57,176.40",12,12,48,0,0,1,0
54,11.6,"1,756.00","20,369.60",12,13,17,0,0,1,0
55,11.6,650,"7,540.00",12,13,57,0,0,1,0
56,11.6,"1,000.00","11,600.00",12,13,57,0,0,1,0
