,Precio,VN,PXQ,Hora,Min,Segundo,Mayor Vol,Menor Vol,Igual Vol,Si es 1 es igual si es cero es MAYOR O MENOR
0,11,1038,11418,11,5,30,0,0,1,1
1,11,922,10142,11,10,47,0,1,0,1
2,11,2000,22000,11,11,30,1,0,0,1
3,11,78,858,11,11,49,0,1,0,1
4,11,183,2013,11,12,2,1,0,0,1
5,11,317,3487,11,19,4,1,0,0,1
6,10.9,152,1656.8,11,23,28,0,1,0,0
7,11,90,990,11,28,10,0,1,0,0
8,11.25,50,562.5,11,29,26,0,1,0,0
9,11.2,1000,11200,11,31,59,1,0,0,0
10,11.2,500,5600,11,32,51,0,1,0,1
11,11.2,5000,56000,11,33,28,1,0,0,1
12,11.15,10000,111500,11,33,29,1,0,0,0
13,11.2,51,571.2,11,33,55,0,1,0,0
14,11.25,917,10316.25,11,35,12,1,0,0,0
15,11.25,1715,19293.75,11,37,45,1,0,0,1
16,11.25,2582,29047.5,11,39,3,1,0,0,1
17,11.25,4418,49702.5,11,39,3,1,0,0,1
18,11.25,418,4702.5,11,46,28,0,1,0,1
19,11.25,22,247.5,11,46,28,0,1,0,1
20,11.25,4978,56002.5,11,47,36,1,0,0,1
21,11.25,2500,28125,11,51,44,0,1,0,1
22,11.25,977,10991.25,11,54,34,0,1,0,1
23,11.25,1000,11250,11,57,44,1,0,0,1
24,11.25,9376,105480,11,57,44,1,0,0,1
25,11.25,23,258.75,11,57,44,0,1,0,1
26,11.3,3000,33900,11,59,13,1,0,0,0
27,11.3,317,3582.1,11,59,13,0,1,0,1
28,11.3,1683,19017.9,11,59,19,1,0,0,1
29,11.3,317,3582.1,11,59,24,0,1,0,1
30,11.35,1500,17025,11,59,34,1,0,0,0
31,11.4,1038,11833.2,12,2,44,0,1,0,0
32,11.4,2470,28158,12,3,9,1,0,0,1
33,11.4,3000,34200,12,7,51,1,0,0,1
34,11.45,900,10305,12,8,37,0,1,0,0
35,11.45,80,916,12,8,52,0,1,0,1
36,11.45,2020,23129,12,8,53,1,0,0,1
37,11.45,3000,34350,12,8,53,1,0,0,1
38,11.45,2500,28625,12,8,53,0,1,0,1
39,11.45,3500,40075,12,8,53,1,0,0,1
40,11.45,80,916,12,8,53,0,1,0,1
41,11.45,320,3664,12,8,57,1,0,0,1
42,11.45,2500,28625,12,8,57,1,0,0,1
43,11.5,5000,57500,12,9,0,1,0,0,0
44,11.5,13000,149500,12,9,0,1,0,0,1
45,11.5,415,4772.5,12,9,0,0,1,0,1
46,11.5,5000,57500,12,9,0,1,0,0,1
47,11.5,2500,28750,12,9,0,0,1,0,1
48,11.5,1376,15824,12,9,0,0,1,0,1
49,11.5,1558,17917,12,9,0,1,0,0,1
50,11.5,5000,57500,12,9,0,1,0,0,1
51,11.6,5000,58000,12,9,8,1,0,0,0
52,11.6,1379,15996.4,12,12,13,0,1,0,1
53,11.6,4929,57176.4,12,12,48,1,0,0,1
54,11.6,1756,20369.6,12,13,17,0,1,0,1
55,11.6,650,7540,12,13,57,0,1,0,1
56,11.6,1000,11600,12,13,57,1,0,0,1
57,11.6,2000,23200,12,15,20,1,0,0,1
58,11.6,1700,19720,12,16,20,0,1,0,1
59,11.6,650,7540,12,16,26,0,1,0,1
60,11.65,2389,27831.85,12,16,29,1,0,0,0
61,11.65,1000,11650,12,16,29,0,1,0,1
62,11.65,2500,29125,12,16,34,1,0,0,1
63,11.65,2811,32748.15,12,16,34,1,0,0,1
64,11.55,900,10395,12,18,21,0,1,0,0
65,11.55,4000,46200,12,18,21,1,0,0,1
66,11.55,1000,11550,12,19,6,0,1,0,1
67,11.55,1000,11550,12,19,58,0,0,1,1
68,11.6,689,7992.4,12,22,14,0,1,0,0
69,11.6,4811,55807.6,12,22,19,1,0,0,1
70,11.55,811,9367.05,12,22,21,0,1,0,0
71,11.6,4189,48592.4,12,22,21,1,0,0,0
72,11.55,1139,13155.45,12,23,47,0,1,0,0
73,11.55,865,9990.75,12,23,47,0,1,0,1
74,11.5,1998,22977,12,23,52,1,0,0,0
75,11.5,5284,60766,12,23,52,1,0,0,1
76,11.55,4329,49999.95,12,24,47,0,1,0,0
77,11.55,1000,11550,12,24,54,0,1,0,1
78,11.55,7267,83933.85,12,28,40,1,0,0,1
79,11.5,100,1150,12,30,34,0,1,0,0
80,11.55,900,10395,12,30,34,1,0,0,0
81,11.6,1500,17400,12,37,4,1,0,0,0
82,11.6,1459,16924.4,12,37,11,0,1,0,1
83,11.6,1700,19720,12,37,43,1,0,0,1
84,11.6,3744,43430.4,12,37,57,1,0,0,1
85,11.55,2770,31993.5,12,38,33,0,1,0,0
86,11.55,280,3234,12,38,55,0,1,0,1
87,11.55,854,9863.7,12,38,55,1,0,0,1
88,11.55,866,10002.3,12,38,55,1,0,0,1
89,11.55,1700,19635,12,39,4,1,0,0,1
90,11.55,20,231,12,39,55,0,1,0,1
91,11.5,5400,62100,12,40,23,1,0,0,0
92,11.5,2030,23345,12,40,23,0,1,0,1
93,11.45,10,114.5,12,40,46,0,1,0,0
94,11.55,377,4354.35,12,41,7,1,0,0,0
95,11.45,26,297.7,12,41,19,0,1,0,0
96,11.5,10,115,12,55,17,0,1,0,0
97,11.55,87,1004.85,12,55,39,1,0,0,0
98,11.5,1810,20815,12,57,18,1,0,0,0
99,11.5,690,7935,12,57,18,0,1,0,1
100,11.55,2000,23100,12,59,57,1,0,0,0
101,11.55,123,1420.65,13,1,40,0,1,0,1
102,11.55,2000,23100,13,5,31,1,0,0,1
103,11.55,500,5775,13,6,37,0,1,0,1
104,11.55,290,3349.5,13,10,43,0,1,0,1
105,11.55,2500,28875,13,10,43,1,0,0,1
106,11.55,500,5775,13,10,43,0,1,0,1
107,11.55,2000,23100,13,10,43,1,0,0,1
108,11.6,944,10950.4,13,10,50,0,1,0,0
109,11.6,56,649.6,13,10,50,0,1,0,1
110,11.55,1777,20524.35,13,11,20,1,0,0,0
111,11.6,400,4640,13,11,43,0,1,0,0
112,11.6,840,9744,13,12,9,1,0,0,1
113,11.6,331,3839.6,13,12,41,0,1,0,1
114,11.6,1880,21808,13,15,10,1,0,0,1
115,11.6,200,2320,13,15,25,0,1,0,1
116,11.6,3405,39498,13,17,27,1,0,0,1
117,11.6,1343,15578.8,13,17,27,0,1,0,1
118,11.6,1157,13421.2,13,17,32,0,1,0,1
119,11.6,1143,13258.8,13,17,32,0,1,0,1
120,11.6,577,6693.2,13,17,51,0,1,0,1
121,11.6,1850,21460,13,21,17,1,0,0,1
122,11.6,5000,58000,13,23,0,1,0,0,1
123,11.65,3000,34950,13,30,33,0,1,0,0
124,11.65,1800,20970,13,35,9,0,1,0,1
125,11.65,1000,11650,13,35,9,0,1,0,1
126,11.65,2500,29125,13,35,9,1,0,0,1
127,11.65,2440,28426,13,35,9,0,1,0,1
128,11.65,2000,23300,13,35,9,0,1,0,1
129,11.65,1000,11650,13,36,14,0,1,0,1
130,11.7,2500,29250,13,39,44,1,0,0,0
131,11.7,500,5850,13,39,44,0,1,0,1
132,11.7,854,9991.8,13,43,15,1,0,0,1
133,11.7,2000,23400,13,43,53,1,0,0,1
134,11.7,386,4516.2,13,43,53,0,1,0,1
135,11.7,890,10413,13,44,0,1,0,0,1
136,11.7,2500,29250,13,44,4,1,0,0,1
137,11.75,1000,11750,13,47,14,0,1,0,0
138,11.7,2000,23400,13,48,25,1,0,0,0
139,11.7,224,2620.8,13,49,7,0,1,0,1
140,11.7,1939,22686.3,13,49,48,1,0,0,1
141,11.7,404,4726.8,13,49,59,0,1,0,1
142,11.7,2657,31086.9,13,50,54,1,0,0,1
143,11.7,3055,35743.5,13,51,48,1,0,0,1
144,11.7,1945,22756.5,13,52,45,0,1,0,1
145,11.7,2223,26009.1,13,54,38,1,0,0,1
146,11.7,854,9991.8,13,55,6,0,1,0,1
147,11.7,1500,17550,13,55,58,1,0,0,1
148,11.7,400,4680,13,56,10,0,1,0,1
149,11.7,23,269.1,13,56,13,0,1,0,1
150,11.65,200,2330,13,56,42,1,0,0,0
151,11.75,89,1045.75,13,56,48,0,1,0,0
152,11.7,500,5850,13,58,55,1,0,0,0
153,11.7,500,5850,13,59,10,0,0,1,1
154,11.75,100,1175,13,59,35,0,1,0,0
155,11.75,3700,43475,13,59,35,1,0,0,1
156,11.75,300,3525,13,59,35,0,1,0,1
157,11.75,900,10575,13,59,35,1,0,0,1
158,11.75,1600,18800,13,59,44,1,0,0,1
159,11.8,2400,28320,13,59,44,1,0,0,0
160,11.8,1000,11800,14,0,23,0,1,0,1
161,11.8,130,1534,14,0,31,0,1,0,1
162,11.8,6470,76346,14,0,32,1,0,0,1
163,11.8,2500,29500,14,0,32,0,1,0,1
164,11.8,1030,12154,14,0,32,0,1,0,1
165,11.8,6880,81184,14,0,41,1,0,0,1
166,11.9,1000,11900,14,1,0,0,1,0,0
167,11.95,2000,23900,14,1,40,1,0,0,0
168,11.9,1000,11900,14,1,49,0,1,0,0
169,11.9,2000,23800,14,2,56,1,0,0,1
170,11.9,1500,17850,14,3,6,0,1,0,1
171,11.9,420,4998,14,3,8,0,1,0,1
172,11.95,2000,23900,14,3,13,1,0,0,0
173,11.95,1666,19908.7,14,3,57,0,1,0,1
174,11.95,334,3991.3,14,4,0,0,1,0,1
175,11.9,420,4998,14,4,25,1,0,0,0
176,11.9,1008,11995.2,14,4,25,1,0,0,1
177,11.9,1580,18802,14,4,25,1,0,0,1
178,11.85,10,118.5,14,4,54,0,1,0,0
179,11.85,1802,21353.7,14,6,21,1,0,0,1
180,11.85,3000,35550,14,6,33,1,0,0,1
181,11.9,2760,32844,14,7,2,0,1,0,0
182,11.85,251,2974.35,14,7,42,0,1,0,0
183,11.9,830,9877,14,10,15,1,0,0,0
184,11.9,2600,30940,14,10,43,1,0,0,1
185,11.9,1410,16779,14,10,43,0,1,0,1
186,11.9,500,5950,14,10,43,0,1,0,1
187,11.9,2400,28560,14,10,47,1,0,0,1
188,11.9,168,1999.2,14,10,47,0,1,0,1
189,11.95,1120,13384,14,10,52,1,0,0,0
190,11.95,2000,23900,14,10,52,1,0,0,1
191,11.95,1680,20076,14,11,32,0,1,0,1
192,11.95,2000,23900,14,11,32,1,0,0,1
193,11.95,2000,23900,14,11,33,0,0,1,1
194,11.95,2000,23900,14,11,33,0,0,1,1
195,12,1571,18852,14,11,33,0,1,0,0
196,12,500,6000,14,11,33,0,1,0,1
197,12,2000,24000,14,11,33,1,0,0,1
198,12,263,3156,14,11,33,0,1,0,1
199,12,5000,60000,14,11,33,1,0,0,1
200,12,1000,12000,14,11,33,0,1,0,1
201,12,1000,12000,14,11,33,0,0,1,1
202,12,922,11064,14,11,33,0,1,0,1
203,12,2500,30000,14,11,33,1,0,0,1
204,12,5000,60000,14,11,33,1,0,0,1
205,12,3744,44928,14,11,48,0,1,0,1
206,11.9,2432,28940.8,14,14,38,0,1,0,0
207,11.95,400,4780,14,15,25,0,1,0,0
