,mes,dia,Open,Open t-1,High t-1,Low t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
0,1,4,16.24,16.13,16.24,16.13,16.24,47800,41000,1
1,1,5,16.29,16.24,16.29,16.18,16.29,34200,32433,0
2,1,6,16.13,16.29,16.29,16.13,16.18,15300,34075,0
3,1,7,16.08,16.13,16.13,15.93,16.08,39000,31340,1
4,1,10,16.13,16.08,16.13,15.93,16.13,20400,33250,1
5,1,11,16.29,16.13,16.34,16.13,16.29,42800,31643,1
6,1,12,16.34,16.29,16.39,16.29,16.34,22000,32050,0
7,1,13,16.34,16.34,16.34,16.13,16.34,34900,32311,1
8,1,14,16.44,16.34,16.55,16.34,16.44,34400,31140,1
9,1,17,16.29,16.44,16.55,16.39,16.50,20600,31373,0
10,1,18,16.13,16.29,16.29,16.03,16.13,33700,31608,1
11,1,19,16.18,16.13,16.18,16.03,16.18,34200,30685,1
12,1,20,16.24,16.18,16.24,16.08,16.24,19600,34164,0
13,1,21,16.13,16.24,16.34,15.93,16.13,79400,33167,0
14,1,24,16.13,16.13,16.18,15.98,16.13,19200,32594,1
15,1,25,16.18,16.13,16.18,16.03,16.18,24000,32141,1
16,1,26,16.24,16.18,16.34,16.18,16.29,24900,31622,0
17,1,27,16.13,16.24,16.24,16.08,16.13,22800,31347,1
18,1,28,16.13,16.13,16.18,15.98,16.18,26400,31100,1
19,1,31,16.13,16.13,16.18,15.98,16.18,26400,30476,0
20,2,1,16.03,16.13,16.13,15.98,16.03,18000,30005,1
21,2,2,16.13,16.03,16.13,16.03,16.13,20100,31830,0
22,2,3,16.03,16.13,16.18,16.03,16.03,72000,38292,0
23,2,4,16.03,16.03,16.18,15.87,16.03,186900,38184,1
24,2,7,16.08,16.03,16.18,15.98,16.08,35600,37508,1
25,2,8,16.13,16.08,16.18,16.03,16.13,20600,36989,1
26,2,9,16.18,16.13,16.24,16.08,16.18,23500,36282,0
27,2,10,16.08,16.18,16.18,16.03,16.08,17200,35593,1
28,2,11,16.29,16.08,16.29,16.08,16.29,16300,35230,0
29,2,14,16.24,16.29,16.29,16.13,16.24,24700,34648,0
30,2,15,16.18,16.24,16.24,16.13,16.18,17200,34091,0
31,2,16,16.18,16.18,16.18,16.08,16.18,16800,33821,0
32,2,17,16.18,16.18,16.24,16.08,16.18,25200,33482,0
33,2,18,16.13,16.18,16.24,16.13,16.13,22300,33271,1
34,2,22,16.29,16.13,16.29,16.08,16.29,26100,32833,0
35,2,23,16.29,16.29,16.29,16.18,16.29,17500,33141,1
36,2,24,16.34,16.29,16.34,16.24,16.34,44200,34389,0
37,2,25,16.29,16.34,16.34,16.24,16.34,80600,33969,0
38,2,28,16.18,16.29,16.29,16.18,16.18,18000,33998,0
39,3,1,16.13,16.18,16.29,15.98,16.13,35100,34317,1
40,3,2,16.18,16.13,16.29,16.03,16.18,47100,34364,1
41,3,3,16.34,16.18,16.34,16.18,16.34,36300,35156,0
42,3,4,16.34,16.34,16.34,16.24,16.34,68400,35345,1
43,3,7,16.44,16.34,16.44,16.29,16.44,43500,35029,0
44,3,8,16.44,16.44,16.50,16.34,16.44,21100,35213,0
45,3,9,16.34,16.44,16.55,16.34,16.34,43500,34923,0
46,3,10,16.29,16.34,16.34,16.24,16.29,21600,34725,0
47,3,11,16.24,16.29,16.34,16.13,16.24,25400,34520,1
48,3,14,16.29,16.24,16.34,16.24,16.29,24700,34406,1
49,3,15,16.44,16.29,16.39,16.24,16.39,28800,35761,1
50,3,16,16.50,16.44,16.60,16.44,16.50,103500,36725,1
51,3,17,16.60,16.50,16.70,16.50,16.60,85900,36804,0
52,3,18,16.55,16.60,16.65,16.44,16.55,40900,36539,0
53,3,21,16.50,16.55,16.60,16.50,16.50,22500,36453,1
54,3,22,16.55,16.50,16.65,16.50,16.55,31800,36395,0
55,3,23,16.44,16.55,16.55,16.39,16.44,33200,36268,1
56,3,24,16.50,16.44,16.55,16.44,16.50,29200,36178,0
57,3,25,16.50,16.50,16.50,16.44,16.50,31000,35910,0
58,3,28,16.29,16.50,16.50,16.24,16.34,20400,35873,0
59,3,29,16.29,16.29,16.29,16.13,16.29,33700,35508,1
60,3,30,16.34,16.29,16.34,16.24,16.34,13600,35190,0
61,3,31,16.29,16.34,16.34,16.29,16.29,15800,35330,0
62,4,1,16.29,16.29,16.39,16.29,16.29,44000,35270,1
63,4,4,16.39,16.29,16.44,16.29,16.39,31500,35000,0
64,4,5,16.34,16.39,16.44,16.29,16.34,17700,35038,0
65,4,6,16.34,16.34,16.39,16.13,16.34,37500,34833,1
66,4,7,16.44,16.34,16.50,16.34,16.39,21300,34676,1
67,4,11,16.55,16.44,16.55,16.44,16.55,24200,34787,0
68,4,12,16.50,16.55,16.65,16.44,16.50,42300,34639,1
69,4,13,16.81,16.50,16.81,16.50,16.81,24400,36182,1
70,4,14,16.91,16.81,16.91,16.60,16.91,144200,36364,1
71,4,15,17.01,16.91,17.17,16.91,17.01,49300,36318,0
72,4,18,16.70,17.01,17.17,16.91,16.91,33000,36327,0
73,4,19,16.50,16.70,16.70,16.50,16.55,37000,36603,0
74,4,20,16.50,16.50,16.50,16.39,16.39,57000,36496,1
75,4,21,16.60,16.50,16.60,16.50,16.60,28500,36236,0
76,4,22,16.55,16.60,16.60,16.50,16.55,16500,36091,0
77,4,25,16.44,16.55,16.60,16.44,16.44,24900,35919,0
78,4,26,16.24,16.44,16.50,16.24,16.24,22500,35766,1
79,4,27,16.39,16.24,16.39,16.18,16.39,23700,35665,1
