,Open,Open t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
0,16.24,16.13,16.24,47800,41000,1
1,16.29,16.24,16.29,34200,32433,0
2,16.13,16.03,16.13,20100,31830,0
3,16.29,16.08,16.29,16300,35230,0
4,16.55,16.6,16.55,40900,36539,0
5,16.39,16.24,16.39,23700,35665,1
6,16.65,16.7,16.65,39400,34277,0
7,16.7,16.6,16.7,29700,34136,0
8,16.6,16.6,16.55,46400,32317,1
9,16.65,16.7,16.65,32500,30384,1
10,16.13,15.98,16.13,19900,30578,1
11,16.5,16.5,16.5,155600,31149,0
12,15.41,15.36,15.41,25600,30018,0
13,15.1,15.36,15.04,29700,29676,1
14,15.25,15.15,15.25,32700,28976,0
15,14.63,14.94,14.63,39400,28518,1
16,14.63,14.42,14.63,39400,28529,1
17,14.68,14.73,14.68,106600,29227,0
18,14.68,14.63,14.68,34900,29478,0
19,14.63,14.68,14.63,51700,29443,0
20,15.04,14.99,15.04,60200,29852,1
21,16.29,16.24,16.29,36300,30809,0
22,16.6,16.65,16.55,20600,31112,0
23,16.76,16.86,16.76,62600,31812,0
24,16.7,16.7,16.7,50000,32134,0
25,16.76,16.76,16.76,41400,32198,0
26,17.27,17.38,17.27,29700,33930,1
27,17.43,17.38,17.43,25400,33728,0
28,17.84,17.84,17.79,32000,33663,1
29,17.69,17.74,17.69,72900,33709,1
30,16.03,16.65,15.98,46900,33185,1
31,16.18,16.13,16.18,14100,33099,0
32,15.2,15.1,15.2,18700,32406,0
33,14.94,14.84,14.94,14800,32028,1
34,14.73,15.15,14.73,32200,31947,0
35,14.73,14.84,14.73,26100,32034,1
36,14.78,14.73,14.78,18400,32011,0
37,14.84,14.84,14.84,18900,31989,1
38,14.94,14.84,14.94,34200,31950,0
39,14.89,14.89,14.89,13200,31832,1
40,14.99,14.89,14.99,35400,31794,1
41,15.15,15.15,15.15,19200,31588,0
42,14.58,14.63,14.58,55300,31550,0
43,14.53,14.63,14.53,19200,31502,1
44,15.3,15.1,15.15,29700,31777,1
45,15.67,15.51,15.67,15800,31718,0
46,15.3,15.25,15.3,23700,31475,1
47,15.51,15.36,15.51,23200,31451,0
48,15.87,15.36,15.87,37300,31433,1
49,15.98,15.87,15.98,26100,31468,1
50,16.03,16.29,16.03,47800,31490,1
51,16.81,16.91,16.81,33000,31352,0
52,16.24,16.24,16.24,52400,31343,0
53,16.39,16.29,16.39,15300,31533,0
54,16.34,16.29,16.34,16800,31553,1
55,16.34,16.34,16.34,77000,31671,0
56,14.89,15.46,14.84,40200,32014,1
57,14.84,15.04,14.84,33000,31987,0
58,14.63,14.63,14.63,24700,31982,0
59,14.63,14.63,14.73,19600,31972,0
60,14.58,14.53,14.58,27800,31939,0
61,14.63,14.11,14.53,38000,31848,1
62,14.27,14.21,14.27,37500,31826,1
63,14.84,14.84,14.84,46400,32163,1
64,14.42,14.47,14.47,111700,32289,0
65,14.32,14.42,14.32,129100,32330,0
66,13.64,13.75,13.64,71200,33460,0
67,13.23,13.28,13.23,34600,34397,0
68,12.97,13.12,12.97,94200,34711,0
69,11.98,12.19,11.98,37000,34957,0
70,11.62,11.98,11.72,100400,35026,0
71,12.04,11.93,12.04,23000,35098,0
72,12.92,12.92,12.92,27600,35113,1
73,13.12,13.18,13.12,29700,35141,0
74,12.92,13.12,12.92,33700,35122,1
75,13.07,12.92,13.07,20100,35125,0
76,13.33,13.12,13.33,44700,35213,1
77,13.59,13.75,13.59,39200,35189,1
78,13.54,13.54,13.59,287100,36095,0
79,13.23,13.18,13.23,56700,36206,1
80,13.44,13.33,13.44,43800,36213,1
81,14.11,13.75,14.11,37800,36254,0
82,13.9,14.11,13.9,72700,36244,0
83,13.8,13.9,13.8,26400,36229,0
84,13.8,13.8,13.8,22800,36229,0
85,13.64,13.64,13.54,46900,36224,1
86,13.7,13.59,13.7,45200,36279,1
87,13.8,13.9,13.8,47600,36307,0
88,12.71,12.61,12.71,43800,37872,0
89,12.55,12.76,12.55,45400,37991,1
90,12.24,12.35,12.24,21300,37898,1
91,11.93,12.09,11.93,107100,37980,1
92,11.98,12.09,11.98,54800,38347,0
93,12.04,11.98,12.04,70000,38375,0
94,11.93,11.93,11.93,43800,38383,0
95,12.55,12.4,12.55,104500,38870,1
96,12.76,12.55,12.71,225000,38929,1
97,17.74,17.74,17.59,495600,47745,1
98,18,18.21,18.21,225700,48425,0
99,17.74,17.38,17.74,233800,48969,0
100,17.53,17.64,17.53,134600,51433,0
101,17.01,17.22,17.01,42100,51841,0
102,16.76,16.96,16.76,60900,51869,0
103,16.81,16.55,16.81,2652900,54927,1
104,17.43,17.17,17.43,171700,55139,0
105,17.01,17.22,17.01,75100,55143,0
106,16.81,17.01,16.81,46900,55157,0
107,16.7,16.6,16.6,49800,55318,0
108,15.51,15.46,15.51,16300,55505,0
109,15.25,15.3,15.2,70800,55560,1
110,15.3,15.3,15.3,57000,55635,0
111,15.61,15.67,15.61,41600,55697,0
112,14.73,14.84,14.73,53800,55858,0
113,14.27,14.68,14.27,97000,56028,0
114,14.11,14.47,14.21,100400,56167,0
115,12.97,12.97,12.97,165900,57998,1
116,14.73,14.84,15.25,121900,58605,0
117,13.44,13.33,13.44,71200,59075,1
118,13.54,13.85,13.49,857700,59817,1
119,14.73,15.2,14.73,219700,60862,0
120,14.53,14.73,14.58,104500,61209,0
121,14.37,14.32,14.37,29200,61204,0
122,14.37,14.27,14.37,80100,61315,0
123,14.16,14.21,14.16,42800,61268,0
124,13.18,12.81,12.66,128800,61998,1
125,12.29,12.29,12.19,42100,63012,1
126,11.36,11.46,11.46,50700,63019,0
127,10.95,11.21,11.1,101800,63120,1
128,11.05,11.21,11.05,111200,63527,0
129,11.15,11.05,11.15,49000,64176,0
130,11.15,11.1,11.1,39200,64366,0
131,11.41,11.41,11.36,168100,64606,0
132,11.36,11.46,11.41,58600,64552,1
133,11.36,11.46,11.46,32200,64518,0
134,11.31,11.31,11.26,15800,64614,0
135,11.98,12.04,12.04,222300,64645,0
136,11.67,11.83,11.72,31300,64589,0
137,11.41,11.52,11.41,70500,64787,0
138,11.62,11.62,11.57,56000,65329,0
139,12.45,12.24,12.5,340600,65973,0
140,13.18,12.92,12.97,146100,66364,0
141,13.12,13.07,13.28,296700,66996,0
142,12.76,12.87,12.81,59600,66972,1
143,13.18,12.92,12.81,25200,67110,1
144,13.33,13.18,13.33,73200,67155,0
145,13.49,12.87,13.18,919900,68256,0
146,12.87,13.07,12.92,78400,71089,1
147,12.92,12.87,12.92,202500,71274,0
148,12.87,12.76,12.81,199200,72016,0
149,12.92,12.92,12.92,109800,74764,0
150,13.23,13.28,13.18,61200,75021,1
151,14.63,14.37,14.42,53100,75761,0
152,14.16,14.16,14.11,63800,76358,0
153,13.85,14.11,14.01,40900,76359,0
154,14.11,13.85,14.01,134100,76382,1
155,14.21,13.85,13.85,53600,77094,1
156,14.84,14.21,14.53,296000,77248,1
157,17.69,17.84,17.69,494600,80780,0
158,18.36,18.47,18.26,86400,81674,0
159,18.36,18.36,18.36,63600,81771,0
160,18.16,18.21,18.21,71700,82026,0
161,17.84,17.48,17.79,1205200,83935,0
162,17.53,17.84,17.64,57400,83941,0
163,16.91,17.64,17.01,126200,83931,1
164,17.74,17.59,17.59,39200,84000,0
165,16.65,16.5,16.55,277800,84463,0
166,16.55,16.5,16.55,59400,84369,0
167,17.01,16.91,16.96,68400,84535,1
168,17.79,17.48,17.74,76300,84921,1
169,17.84,17.84,17.79,168800,85526,1
170,18.05,17.64,18.05,138400,86247,0
171,17.38,17.84,17.53,183800,87750,1
172,17.95,17.79,17.84,389200,88632,1
173,20.13,19.5,20.13,353400,89956,0
174,20.23,20.18,20.13,50200,90126,0
175,20.33,20.39,20.33,58600,90230,0
176,19.92,19.82,19.97,66700,90256,0
177,19.45,19.71,19.56,194100,90282,0
178,19.4,19.45,19.4,77000,90414,1
179,21.42,21.42,21.27,562500,94667,0
180,21.11,21.42,21.22,259900,94886,0
181,20.44,20.49,20.54,215100,96829,0
182,20.23,20.23,20.23,86600,96853,0
183,20.18,20.23,20.23,45200,96822,1
184,18.67,18.42,18.67,113400,99560,1
185,19.35,19.56,19.3,157300,99814,0
186,18.67,18.83,18.62,91000,100079,0
187,18.21,18.36,18.21,213700,100186,0
188,18.26,18.21,18.21,103000,100179,0
189,17.22,17.01,17.12,99900,100406,1
190,17.43,17.53,17.43,64500,100443,1
191,17.79,17.69,17.59,131200,100534,1
192,18.21,18.21,18.21,101400,100478,0
193,18.1,18,18.05,126000,100411,1
