,Open,Open t-1,Close t-1,Vol t-1,Si close es mayor a open =1
0,16.24,16.13,16.24,47800,1
1,16.29,16.24,16.29,34200,0
2,16.13,16.29,16.18,15300,0
3,16.08,16.13,16.08,39000,1
4,16.13,16.08,16.13,20400,1
5,16.29,16.13,16.29,42800,1
6,16.34,16.29,16.34,22000,0
7,16.34,16.34,16.34,34900,1
8,16.44,16.34,16.44,34400,1
9,16.29,16.44,16.5,20600,0
10,16.13,16.29,16.13,33700,1
11,16.18,16.13,16.18,34200,1
12,16.24,16.18,16.24,19600,0
13,16.13,16.24,16.13,79400,0
14,16.13,16.13,16.13,19200,1
15,16.18,16.13,16.18,24000,1
16,16.24,16.18,16.29,24900,0
17,16.13,16.24,16.13,22800,1
18,16.13,16.13,16.18,26400,1
19,16.13,16.13,16.18,26400,0
20,16.03,16.13,16.03,18000,1
21,16.13,16.03,16.13,20100,0
22,16.03,16.13,16.03,72000,0
23,16.03,16.03,16.03,186900,1
24,16.08,16.03,16.08,35600,1
25,16.13,16.08,16.13,20600,1
26,16.18,16.13,16.18,23500,0
27,16.08,16.18,16.08,17200,1
28,16.29,16.08,16.29,16300,0
29,16.24,16.29,16.24,24700,0
30,16.18,16.24,16.18,17200,0
31,16.18,16.18,16.18,16800,0
32,16.18,16.18,16.18,25200,0
33,16.13,16.18,16.13,22300,1
34,16.29,16.13,16.29,26100,0
35,16.29,16.29,16.29,17500,1
36,16.34,16.29,16.34,44200,0
37,16.29,16.34,16.34,80600,0
38,16.18,16.29,16.18,18000,0
39,16.13,16.18,16.13,35100,1
40,16.18,16.13,16.18,47100,1
41,16.34,16.18,16.34,36300,0
42,16.34,16.34,16.34,68400,1
43,16.44,16.34,16.44,43500,0
44,16.44,16.44,16.44,21100,0
45,16.34,16.44,16.34,43500,0
46,16.29,16.34,16.29,21600,0
47,16.24,16.29,16.24,25400,1
48,16.29,16.24,16.29,24700,1
49,16.44,16.29,16.39,28800,1
50,16.5,16.44,16.5,103500,1
51,16.6,16.5,16.6,85900,0
52,16.55,16.6,16.55,40900,0
53,16.5,16.55,16.5,22500,1
54,16.55,16.5,16.55,31800,0
55,16.44,16.55,16.44,33200,1
56,16.5,16.44,16.5,29200,0
57,16.5,16.5,16.5,31000,0
58,16.29,16.5,16.34,20400,0
59,16.29,16.29,16.29,33700,1
60,16.34,16.29,16.34,13600,0
61,16.29,16.34,16.29,15800,0
62,16.29,16.29,16.29,44000,1
63,16.39,16.29,16.39,31500,0
64,16.34,16.39,16.34,17700,0
65,16.34,16.34,16.34,37500,1
66,16.44,16.34,16.39,21300,1
67,16.55,16.44,16.55,24200,0
68,16.5,16.55,16.5,42300,1
69,16.81,16.5,16.81,24400,1
70,16.91,16.81,16.91,144200,1
71,17.01,16.91,17.01,49300,0
72,16.7,17.01,16.91,33000,0
73,16.5,16.7,16.55,37000,0
74,16.5,16.5,16.39,57000,1
75,16.6,16.5,16.6,28500,0
76,16.55,16.6,16.55,16500,0
77,16.44,16.55,16.44,24900,0
78,16.24,16.44,16.24,22500,1
79,16.39,16.24,16.39,23700,1
80,16.44,16.39,16.44,27600,0
81,16.44,16.44,16.44,19900,1
82,16.5,16.44,16.5,34200,1
