,Open,Open t-1,Vol t-1,Si close es mayor a open =1
0,16.24,16.13,47800,1
1,16.29,16.24,34200,0
2,16.13,16.29,15300,0
3,16.08,16.13,39000,1
4,16.13,16.08,20400,1
5,16.29,16.13,42800,1
6,16.34,16.29,22000,0
7,16.34,16.34,34900,1
8,16.44,16.34,34400,1
9,16.29,16.44,20600,0
10,16.13,16.29,33700,1
11,16.18,16.13,34200,1
12,16.24,16.18,19600,0
13,16.13,16.24,79400,0
14,16.13,16.13,19200,1
15,16.18,16.13,24000,1
16,16.24,16.18,24900,0
17,16.13,16.24,22800,1
18,16.13,16.13,26400,1
19,16.13,16.13,26400,0
20,16.03,16.13,18000,1
21,16.13,16.03,20100,0
22,16.03,16.13,72000,0
23,16.03,16.03,186900,1
24,16.08,16.03,35600,1
25,16.13,16.08,20600,1
26,16.18,16.13,23500,0
27,16.08,16.18,17200,1
28,16.29,16.08,16300,0
29,16.24,16.29,24700,0
30,16.18,16.24,17200,0
31,16.18,16.18,16800,0
32,16.18,16.18,25200,0
33,16.13,16.18,22300,1
34,16.29,16.13,26100,0
35,16.29,16.29,17500,1
36,16.34,16.29,44200,0
37,16.29,16.34,80600,0
38,16.18,16.29,18000,0
39,16.13,16.18,35100,1
40,16.18,16.13,47100,1
41,16.34,16.18,36300,0
42,16.34,16.34,68400,1
43,16.44,16.34,43500,0
44,16.44,16.44,21100,0
45,16.34,16.44,43500,0
46,16.29,16.34,21600,0
47,16.24,16.29,25400,1
48,16.29,16.24,24700,1
49,16.44,16.29,28800,1
50,16.5,16.44,103500,1
51,16.6,16.5,85900,0
52,16.55,16.6,40900,0
53,16.5,16.55,22500,1
54,16.55,16.5,31800,0
55,16.44,16.55,33200,1
56,16.5,16.44,29200,0
57,16.5,16.5,31000,0
58,16.29,16.5,20400,0
59,16.29,16.29,33700,1
60,16.34,16.29,13600,0
61,16.29,16.34,15800,0
62,16.29,16.29,44000,1
63,16.39,16.29,31500,0
64,16.34,16.39,17700,0
65,16.34,16.34,37500,1
66,16.44,16.34,21300,1
67,16.55,16.44,24200,0
68,16.5,16.55,42300,1
69,16.81,16.5,24400,1
70,16.91,16.81,144200,1
71,17.01,16.91,49300,0
72,16.7,17.01,33000,0
73,16.5,16.7,37000,0
74,16.5,16.5,57000,1
75,16.6,16.5,28500,0
76,16.55,16.6,16500,0
77,16.44,16.55,24900,0
78,16.24,16.44,22500,1
79,16.39,16.24,23700,1
80,16.44,16.39,27600,0
81,16.44,16.44,19900,1
82,16.5,16.44,34200,1
83,16.6,16.5,34200,0
84,16.6,16.6,21300,1
85,16.65,16.6,21100,0
86,16.6,16.65,20600,0
87,16.6,16.6,14400,1
88,16.65,16.6,49000,0
89,16.65,16.65,16300,1
90,16.7,16.65,17000,0
91,16.65,16.7,39400,0
92,16.6,16.65,11500,0
93,16.6,16.6,24200,1
94,16.7,16.6,29700,0
95,16.7,16.7,35400,0
96,16.81,16.7,53400,1
97,16.86,16.81,19600,0
98,16.76,16.86,23000,0
99,16.7,16.76,23700,1
100,16.76,16.7,25900,0
101,16.7,16.76,14100,0
102,16.6,16.7,15800,0
103,16.5,16.6,28800,1
104,16.55,16.5,14600,1
105,16.65,16.55,30100,1
106,16.7,16.65,26400,0
107,16.44,16.7,35600,1
108,16.6,16.44,43300,0
109,16.55,16.6,25400,1
110,16.6,16.55,14400,0
111,16.6,16.6,11500,0
112,16.6,16.6,13900,0
113,16.6,16.6,16300,0
114,16.5,16.6,19600,0
115,16.5,16.5,73600,1
116,16.55,16.5,40400,0
117,16.5,16.55,14600,0
118,16.5,16.5,33000,1
119,16.55,16.5,16300,1
120,16.6,16.55,20100,0
121,16.6,16.6,47100,0
122,16.5,16.6,22300,0
123,16.5,16.5,19600,1
124,16.6,16.5,16300,0
125,16.6,16.6,46400,1
126,16.7,16.6,22000,1
127,16.86,16.7,27800,0
128,16.86,16.86,24200,1
129,17.01,16.86,46600,0
130,17.01,17.01,20400,1
131,17.12,17.01,23000,0
132,17.12,17.12,33900,1
133,17.17,17.12,22500,0
134,17.01,17.17,27100,0
135,16.86,17.01,18900,1
136,17.12,16.86,19600,1
137,17.22,17.12,36800,1
138,17.27,17.22,23700,0
139,17.07,17.27,30600,1
