,mes,dia,Open,Open t-1,High t-1,Low t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1,,,,,
0,1,4, 16.236876 , 16.133125 , 16.236876 , 16.133125 , 16.236876 ,47800," 41,000 ",1,,,,,
1,1,5, 16.288750 , 16.236876 , 16.288750 , 16.184999 , 16.288750 ,34200," 32,433 ",0,,,,,
2,1,6, 16.133125 , 16.288750 , 16.288750 , 16.133125 , 16.184999 ,15300," 34,075 ",0,,,,,
3,1,7, 16.081249 , 16.133125 , 16.133125 , 15.925625 , 16.081249 ,39000," 31,340 ",1,,,,,
4,1,10, 16.133125 , 16.081249 , 16.133125 , 15.925625 , 16.133125 ,20400," 33,250 ",1,,,,,
5,1,11, 16.288750 , 16.133125 , 16.340626 , 16.133125 , 16.288750 ,42800," 31,643 ",1,,,,,
6,1,12, 16.340626 , 16.288750 , 16.392500 , 16.288750 , 16.340626 ,22000," 32,050 ",0,,,,,
7,1,13, 16.340626 , 16.340626 , 16.340626 , 16.133125 , 16.340626 ,34900," 32,311 ",1,,,,,
8,1,14, 16.444374 , 16.340626 , 16.548124 , 16.340626 , 16.444374 ,34400," 31,140 ",1,,,,,
9,1,17, 16.288750 , 16.444374 , 16.548124 , 16.392500 , 16.496250 ,20600," 31,373 ",0,,,,,
10,1,18, 16.133125 , 16.288750 , 16.288750 , 16.029375 , 16.133125 ,33700," 31,608 ",1,,,,,
11,1,19, 16.184999 , 16.133125 , 16.184999 , 16.029375 , 16.184999 ,34200," 30,685 ",1,,,,,
12,1,20, 16.236876 , 16.184999 , 16.236876 , 16.081249 , 16.236876 ,19600," 34,164 ",0,,,,,
13,1,21, 16.133125 , 16.236876 , 16.340626 , 15.925625 , 16.133125 ,79400," 33,167 ",0,,,,,
14,1,24, 16.133125 , 16.133125 , 16.184999 , 15.977500 , 16.133125 ,19200," 32,594 ",1,,,,,
15,1,25, 16.184999 , 16.133125 , 16.184999 , 16.029375 , 16.184999 ,24000," 32,141 ",1,,,,,
16,1,26, 16.236876 , 16.184999 , 16.340626 , 16.184999 , 16.288750 ,24900," 31,622 ",0,,,,,
17,1,27, 16.133125 , 16.236876 , 16.236876 , 16.081249 , 16.133125 ,22800," 31,347 ",1,,,,,
18,1,28, 16.133125 , 16.133125 , 16.184999 , 15.977500 , 16.184999 ,26400," 31,100 ",1,,,,,
19,1,31, 16.133125 , 16.133125 , 16.184999 , 15.977500 , 16.184999 ,26400," 30,476 ",0,,,,,
20,2,1, 16.029375 , 16.133125 , 16.133125 , 15.977500 , 16.029375 ,18000," 30,005 ",1,,,,,
21,2,2, 16.133125 , 16.029375 , 16.133125 , 16.029375 , 16.133125 ,20100," 31,830 ",0,,,,,
22,2,3, 16.029375 , 16.133125 , 16.184999 , 16.029375 , 16.029375 ,72000," 38,292 ",0,,,,,
23,2,4, 16.029375 , 16.029375 , 16.184999 , 15.873750 , 16.029375 ,186900," 38,184 ",1,,,,,
24,2,7, 16.081249 , 16.029375 , 16.184999 , 15.977500 , 16.081249 ,35600," 37,508 ",1,,,,,
25,2,8, 16.133125 , 16.081249 , 16.184999 , 16.029375 , 16.133125 ,20600," 36,989 ",1,,,,,
26,2,9, 16.184999 , 16.133125 , 16.236876 , 16.081249 , 16.184999 ,23500," 36,282 ",0,,,,,
27,2,10, 16.081249 , 16.184999 , 16.184999 , 16.029375 , 16.081249 ,17200," 35,593 ",1,,,,,
28,2,11, 16.288750 , 16.081249 , 16.288750 , 16.081249 , 16.288750 ,16300," 35,230 ",0,,,,,
29,2,14, 16.236876 , 16.288750 , 16.288750 , 16.133125 , 16.236876 ,24700," 34,648 ",0,,,,,
30,2,15, 16.184999 , 16.236876 , 16.236876 , 16.133125 , 16.184999 ,17200," 34,091 ",0,,,,,
31,2,16, 16.184999 , 16.184999 , 16.184999 , 16.081249 , 16.184999 ,16800," 33,821 ",0,,,,,
32,2,17, 16.184999 , 16.184999 , 16.236876 , 16.081249 , 16.184999 ,25200," 33,482 ",0,,,,,
33,2,18, 16.133125 , 16.184999 , 16.236876 , 16.133125 , 16.133125 ,22300," 33,271 ",1,,,,,
34,2,22, 16.288750 , 16.133125 , 16.288750 , 16.081249 , 16.288750 ,26100," 32,833 ",0,,,,,
35,2,23, 16.288750 , 16.288750 , 16.288750 , 16.184999 , 16.288750 ,17500," 33,141 ",1,,,,,
36,2,24, 16.340626 , 16.288750 , 16.340626 , 16.236876 , 16.340626 ,44200," 34,389 ",0,,,,,
37,2,25, 16.288750 , 16.340626 , 16.340626 , 16.236876 , 16.340626 ,80600," 33,969 ",0,,,,,
38,2,28, 16.184999 , 16.288750 , 16.288750 , 16.184999 , 16.184999 ,18000," 33,998 ",0,,,,,
39,3,1, 16.133125 , 16.184999 , 16.288750 , 15.977500 , 16.133125 ,35100," 34,317 ",1,,,,,
40,3,2, 16.184999 , 16.133125 , 16.288750 , 16.029375 , 16.184999 ,47100," 34,364 ",1,,,,,
41,3,3, 16.340626 , 16.184999 , 16.340626 , 16.184999 , 16.340626 ,36300," 35,156 ",0,,,,,
42,3,4, 16.340626 , 16.340626 , 16.340626 , 16.236876 , 16.340626 ,68400," 35,345 ",1,,,,,
43,3,7, 16.444374 , 16.340626 , 16.444374 , 16.288750 , 16.444374 ,43500," 35,029 ",0,,,,,
44,3,8, 16.444374 , 16.444374 , 16.496250 , 16.340626 , 16.444374 ,21100," 35,213 ",0,,,,,
45,3,9, 16.340626 , 16.444374 , 16.548124 , 16.340626 , 16.340626 ,43500," 34,923 ",0,,,,,
46,3,10, 16.288750 , 16.340626 , 16.340626 , 16.236876 , 16.288750 ,21600," 34,725 ",0,,,,,
47,3,11, 16.236876 , 16.288750 , 16.340626 , 16.133125 , 16.236876 ,25400," 34,520 ",1,,,,,
48,3,14, 16.288750 , 16.236876 , 16.340626 , 16.236876 , 16.288750 ,24700," 34,406 ",1,,,,,
49,3,15, 16.444374 , 16.288750 , 16.392500 , 16.236876 , 16.392500 ,28800," 35,761 ",1,,,,,
50,3,16, 16.496250 , 16.444374 , 16.600000 , 16.444374 , 16.496250 ,103500," 36,725 ",1,,,,,
51,3,17, 16.600000 , 16.496250 , 16.703751 , 16.496250 , 16.600000 ,85900," 36,804 ",0,,,,,
52,3,18, 16.548124 , 16.600000 , 16.651875 , 16.444374 , 16.548124 ,40900," 36,539 ",0,,,,,
53,3,21, 16.496250 , 16.548124 , 16.600000 , 16.496250 , 16.496250 ,22500," 36,453 ",1,,,,,
54,3,22, 16.548124 , 16.496250 , 16.651875 , 16.496250 , 16.548124 ,31800," 36,395 ",0,,,,,
55,3,23, 16.444374 , 16.548124 , 16.548124 , 16.392500 , 16.444374 ,33200," 36,268 ",1,,,,,
56,3,24, 16.496250 , 16.444374 , 16.548124 , 16.444374 , 16.496250 ,29200," 36,178 ",0,,,,,
57,3,25, 16.496250 , 16.496250 , 16.496250 , 16.444374 , 16.496250 ,31000," 35,910 ",0,,,,,
58,3,28, 16.288750 , 16.496250 , 16.496250 , 16.236876 , 16.340626 ,20400," 35,873 ",0,,,,,
59,3,29, 16.288750 , 16.288750 , 16.288750 , 16.133125 , 16.288750 ,33700," 35,508 ",1,,,,,
60,3,30, 16.340626 , 16.288750 , 16.340626 , 16.236876 , 16.340626 ,13600," 35,190 ",0,,,,,
61,3,31, 16.288750 , 16.340626 , 16.340626 , 16.288750 , 16.288750 ,15800," 35,330 ",0,,,,,
62,4,1, 16.288750 , 16.288750 , 16.392500 , 16.288750 , 16.288750 ,44000," 35,270 ",1,,,,,
63,4,4, 16.392500 , 16.288750 , 16.444374 , 16.288750 , 16.392500 ,31500," 35,000 ",0,,,,,
64,4,5, 16.340626 , 16.392500 , 16.444374 , 16.288750 , 16.340626 ,17700," 35,038 ",0,,,,,
65,4,6, 16.340626 , 16.340626 , 16.392500 , 16.133125 , 16.340626 ,37500," 34,833 ",1,,,,,
66,4,7, 16.444374 , 16.340626 , 16.496250 , 16.340626 , 16.392500 ,21300," 34,676 ",1,,,,,
67,4,11, 16.548124 , 16.444374 , 16.548124 , 16.444374 , 16.548124 ,24200," 34,787 ",0,,,,,
68,4,12, 16.496250 , 16.548124 , 16.651875 , 16.444374 , 16.496250 ,42300," 34,639 ",1,,,,,
69,4,13, 16.807501 , 16.496250 , 16.807501 , 16.496250 , 16.807501 ,24400," 36,182 ",1,,,,,
70,4,14, 16.911249 , 16.807501 , 16.911249 , 16.600000 , 16.911249 ,144200," 36,364 ",1,,,,,
71,4,15, 17.014999 , 16.911249 , 17.170626 , 16.911249 , 17.014999 ,49300," 36,318 ",0,,,,,
72,4,18, 16.703751 , 17.014999 , 17.170626 , 16.911249 , 16.911249 ,33000," 36,327 ",0,,,,,
73,4,19, 16.496250 , 16.703751 , 16.703751 , 16.496250 , 16.548124 ,37000," 36,603 ",0,,,,,
74,4,20, 16.496250 , 16.496250 , 16.496250 , 16.392500 , 16.392500 ,57000," 36,496 ",1,,,,,
75,4,21, 16.600000 , 16.496250 , 16.600000 , 16.496250 , 16.600000 ,28500," 36,236 ",0,,,,,
76,4,22, 16.548124 , 16.600000 , 16.600000 , 16.496250 , 16.548124 ,16500," 36,091 ",0,,,,,
77,4,25, 16.444374 , 16.548124 , 16.600000 , 16.444374 , 16.444374 ,24900," 35,919 ",0,,,,,
78,4,26, 16.236876 , 16.444374 , 16.496250 , 16.236876 , 16.236876 ,22500," 35,766 ",1,,,,,
79,4,27, 16.392500 , 16.236876 , 16.392500 , 16.184999 , 16.392500 ,23700," 35,665 ",1,,,,,
80,4,28, 16.444374 , 16.392500 , 16.600000 , 16.340626 , 16.444374 ,27600," 35,473 ",0,,,,,
81,4,29, 16.444374 , 16.444374 , 16.548124 , 16.392500 , 16.444374 ,19900," 35,458 ",1,,,,,
