CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,"SI(B1*A1=0,0,1)"
0.04819,80,3.64,0.392,6.108,32,9.2203,315,16.4,1
0.5405,20,3.97,0.575,7.47,52.6,2.872,264,13,1
0.21409,22,5.86,0.431,6.438,8.9,7.3967,330,19.1,1
1.46336,0,19.58,0.605,7.489,90.8,1.9709,403,14.7,0
0.07022,0,4.05,0.51,6.02,47.2,3.5549,296,16.6,0
8.98296,0,18.1,0.77,6.212,97.4,2.1222,666,20.2,0
0.04666,80,1.52,0.404,7.107,36.6,7.309,329,12.6,1
0.03306,0,5.19,0.515,6.059,37.3,4.8122,224,20.2,0
0.82526,20,3.97,0.647,7.327,94.5,2.0788,264,13,1
0.53412,20,3.97,0.647,7.52,89.4,2.1398,264,13,1
0.06047,0,2.46,0.488,6.153,68.8,3.2797,193,17.8,0
