, PRECIO , VN , PxQ 
0,1.88,2724.00,5121.12
1,1.88,2276.00,4278.88
2,1.88,3600.00,6768.00
3,1.88,245.00,460.60
4,1.88,908.00,1707.04
5,1.88,247.00,464.36
6,1.88,5904.00,11099.52
7,1.88,247.00,464.36
8,1.88,1000.00,1880.00
9,1.88,5630.00,10584.40
10,1.90,877.00,1666.30
11,1.90,4123.00,7833.70
12,1.91,3906.00,7460.46
13,1.95,3633.00,7084.35
14,1.95,2000.00,3900.00
15,1.95,271.00,528.45
16,1.98,693.00,1372.14
17,1.97,123.00,242.31
18,1.97,500.00,985.00
19,1.97,824.00,1623.28
20,1.97,553.00,1089.41
21,1.98,447.00,885.06
22,2.00,865.00,1730.00
23,2.00,1635.00,3270.00
24,2.00,27.00,54.00
25,2.00,2498.00,4996.00
26,2.00,1544.00,3088.00
27,2.00,398.00,796.00
28,2.00,625.00,1250.00
29,2.00,465.00,930.00
30,2.00,30000.00,60000.00
31,2.00,5414.00,10828.00
32,2.00,908.00,1816.00
33,2.05,1062.00,2177.10
34,2.05,700.00,1435.00
35,2.05,1238.00,2537.90
36,2.05,632.00,1295.60
37,2.05,3762.00,7712.10
38,2.05,606.00,1242.30
39,2.05,3064.00,6281.20
40,2.05,936.00,1918.80
41,2.05,4000.00,8200.00
42,2.05,64.00,131.20
43,2.05,227.00,465.35
44,2.05,467.00,957.35
45,2.05,186.00,381.30
46,2.10,1500.00,3150.00
47,2.10,30000.00,63000.00
48,2.10,708.00,1486.80
49,2.10,2000.00,4200.00
50,2.10,5700.00,11970.00
51,2.15,1498.00,3220.70
52,2.15,508.00,1092.20
53,2.15,908.00,1952.20
54,2.15,1000.00,2150.00
55,2.15,1000.00,2150.00
56,2.15,170.00,365.50
57,2.15,465.00,999.75
58,2.15,4115.00,8847.25
59,2.15,680.00,1462.00
60,2.15,340.00,731.00
61,2.15,1365.00,2934.75
62,2.15,6148.00,13218.20
63,2.15,1852.00,3981.80
64,2.15,419.00,900.85
65,2.15,2802.00,6024.30
66,2.25,1000.00,2250.00
67,2.25,2000.00,4500.00
68,2.25,279.00,627.75
69,2.25,2787.00,6270.75
70,2.25,2213.00,4979.25
71,2.25,2787.00,6270.75
72,2.25,12213.00,27479.25
73,2.25,5000.00,11250.00
74,2.25,4029.00,9065.25
75,2.25,10971.00,24684.75
76,2.25,2729.00,6140.25
77,2.25,2500.00,5625.00
78,2.20,1000.00,2200.00
79,2.25,500.00,1125.00
80,2.20,1000.00,2200.00
81,2.20,1000.00,2200.00
82,2.20,8000.00,17600.00
83,2.20,1000.00,2200.00
84,2.20,1000.00,2200.00
85,2.20,6000.00,13200.00
86,2.20,5000.00,11000.00
87,2.18,8356.00,18216.08
88,2.20,8000.00,17600.00
89,2.20,3268.00,7189.60
90,2.20,6733.00,14812.60
91,2.20,726.00,1597.20
92,2.20,2541.00,5590.20
93,2.20,6415.00,14113.00
94,2.20,3585.00,7887.00
95,2.20,1400.00,3080.00
96,2.20,2.00,4.40
97,2.21,7086.00,15660.06
98,2.20,5998.00,13195.60
99,2.20,1200.00,2640.00
100,2.20,5000.00,11000.00
101,2.20,3427.00,7539.40
102,2.20,4159.00,9149.80
103,2.20,4638.00,10203.60
104,2.20,173.00,380.60
105,2.20,1203.00,2646.60
106,2.20,3624.00,7972.80
107,2.20,5000.00,11000.00
108,2.20,908.00,1997.60
109,2.20,908.00,1997.60
110,2.20,10409.00,22899.80
111,2.20,6397.00,14073.40
112,2.20,3000.00,6600.00
113,2.20,9941.00,21870.20
114,2.20,2335.00,5137.00
115,2.20,970.00,2134.00
116,2.20,7315.00,16093.00
117,2.21,500.00,1105.00
118,2.24,450.00,1008.00
119,2.25,110.00,247.50
120,2.25,1300.00,2925.00
121,2.24,2818.00,6312.32
122,2.25,772.00,1737.00
123,2.25,1890.00,4252.50
124,2.25,5000.00,11250.00
125,2.25,3110.00,6997.50
126,2.25,2000.00,4500.00
127,2.25,1000.00,2250.00
128,2.25,1612.00,3627.00
129,2.25,388.00,873.00
130,2.25,3500.00,7875.00
131,2.25,52.00,117.00
132,2.25,24.00,54.00
133,2.25,1424.00,3204.00
134,2.25,2731.00,6144.75
135,2.25,3587.00,8070.75
136,2.25,3562.00,8014.50
137,2.25,120.00,270.00
138,2.25,7000.00,15750.00
139,2.25,302.00,679.50
140,2.25,9698.00,21820.50
141,2.25,10000.00,22500.00
142,2.25,10000.00,22500.00
143,2.25,302.00,679.50
144,2.26,3198.00,7227.48
145,2.25,2500.00,5625.00
146,2.25,5000.00,11250.00
147,2.25,1584.00,3564.00
148,2.26,1000.00,2260.00
149,2.26,5000.00,11300.00
150,2.26,802.00,1812.52
151,2.27,500.00,1135.00
152,2.27,2000.00,4540.00
153,2.30,6143.00,14128.90
154,2.30,8857.00,20371.10
155,2.30,1077.00,2477.10
156,2.30,12780.00,29394.00
157,2.30,500.00,1150.00
158,2.30,1262.00,2902.60
159,2.30,842.00,1936.60
160,2.30,458.00,1053.40
161,2.35,5000.00,11750.00
162,2.35,5000.00,11750.00
163,2.35,1852.00,4352.20
164,2.35,1700.00,3995.00
165,2.35,148.00,347.80
166,2.31,1362.00,3146.22
167,2.35,3152.00,7407.20
168,2.35,9999.00,23497.65
169,2.35,6849.00,16095.15
170,2.35,6007.00,14116.45
171,2.35,3151.00,7404.85
172,2.35,842.00,1978.70
173,2.35,3994.00,9385.90
174,2.35,2236.00,5254.60
175,2.35,2683.00,6305.05
176,2.36,5000.00,11800.00
177,2.36,2500.00,5900.00
178,2.35,362.00,850.70
179,2.38,137.00,326.06
180,2.38,2500.00,5950.00
181,2.38,725.00,1725.50
182,2.38,1638.00,3898.44
183,2.38,461.00,1097.18
184,2.38,1033.00,2458.54
185,2.38,239.00,568.82
186,2.38,1753.00,4172.14
187,2.39,1033.00,2468.87
188,2.39,2000.00,4780.00
189,2.39,2928.00,6997.92
190,2.39,1039.00,2483.21
191,2.39,1461.00,3491.79
192,2.39,500.00,1195.00
193,2.39,1000.00,2390.00
194,2.39,5000.00,11950.00
195,2.39,39.00,93.21
196,2.40,10000.00,24000.00
197,2.40,5000.00,12000.00
198,2.40,40000.00,96000.00
199,2.40,1000.00,2400.00
200,2.40,500.00,1200.00
201,2.50,2300.00,5750.00
202,2.50,2700.00,6750.00
203,2.55,4060.00,10353.00
204,2.53,940.00,2378.20
205,2.55,940.00,2397.00
206,2.60,2000.00,5200.00
207,2.60,1000.00,2600.00
208,2.60,2000.00,5200.00
209,2.60,1000.00,2600.00
210,2.60,500.00,1300.00
211,2.64,572.00,1510.08
212,2.64,3000.00,7920.00
213,2.83,4539.00,12845.37
214,2.83,5461.00,15454.63
215,2.83,2000.00,5660.00
216,2.83,1039.00,2940.37
217,2.83,1500.00,4245.00
218,2.83,1425.00,4032.75
219,2.83,17875.00,50586.25
220,2.83,4760.00,13470.80
221,2.83,700.00,1981.00
222,2.83,1000.00,2830.00
223,2.83,6365.00,18012.95
224,2.83,3635.00,10287.05
225,2.83,208.00,588.64
226,2.87,3000.00,8610.00
227,2.83,454.00,1284.82
228,2.83,345.00,976.35
229,2.87,616.00,1767.92
230,2.87,1000.00,2870.00
231,2.87,2700.00,7749.00
232,2.87,236.00,677.32
233,2.87,384.00,1102.08
234,2.87,272.00,780.64
235,2.87,3533.00,10139.71
236,2.90,4175.00,12107.50
237,2.90,2386.00,6919.40
238,2.90,976.00,2830.40
239,2.90,2976.00,8630.40
240,2.90,4024.00,11669.60
241,2.90,5000.00,14500.00
242,2.90,4000.00,11600.00
243,2.90,2000.00,5800.00
244,2.83,5000.00,14150.00
245,2.83,358.00,1013.14
246,2.85,2100.00,5985.00
247,2.80,1050.00,2940.00
248,2.80,3429.00,9601.20
249,2.79,600.00,1674.00
250,2.78,900.00,2502.00
251,2.79,454.00,1266.66
252,2.79,1421.00,3964.59
253,2.79,2928.00,8169.12
254,2.79,1816.00,5066.64
255,2.79,1816.00,5066.64
256,2.79,7095.00,19795.05
257,2.79,884.00,2466.36
258,2.75,1236.00,3399.00
259,2.75,464.00,1276.00
260,2.79,961.00,2681.19
261,2.77,1497.00,4146.69
262,2.77,5000.00,13850.00
263,2.78,2724.00,7572.72
264,2.79,10.00,27.90
265,2.79,1720.00,4798.80
266,2.79,1952.00,5446.08
267,2.83,2000.00,5660.00
268,2.85,701.00,1997.85
269,2.85,2726.00,7769.10
270,2.85,3051.00,8695.35
271,2.85,2000.00,5700.00
272,2.85,2000.00,5700.00
273,2.89,10000.00,28900.00
274,2.90,1793.00,5199.70
275,2.89,2468.00,7132.52
276,2.89,2000.00,5780.00
277,2.89,722.00,2086.58
278,2.90,4231.00,12269.90
279,2.90,1000.00,2900.00
280,2.90,2500.00,7250.00
281,2.90,1269.00,3680.10
282,2.90,731.00,2119.90
283,2.90,269.00,780.10
284,2.90,1700.00,4930.00
285,2.90,1070.00,3103.00
286,2.90,123.00,356.70
287,2.90,531.00,1539.90
288,2.90,2047.00,5936.30
289,2.90,4853.00,14073.70
290,2.90,147.00,426.30
291,2.90,3353.00,9723.70
292,2.90,868.00,2517.20
293,2.92,2000.00,5840.00
294,2.90,6450.00,18705.00
295,2.90,5200.00,15080.00
296,2.90,4166.00,12081.40
297,2.90,700.00,2030.00
298,2.90,685.00,1986.50
299,2.88,5416.00,15598.08
300,2.88,2000.00,5760.00
301,2.89,1384.00,3999.76
302,2.88,18168.00,52323.84
303,2.81,1500.00,4215.00
304,2.81,10500.00,29505.00
305,2.88,8228.00,23696.64
306,2.81,4500.00,12645.00
307,2.80,5000.00,14000.00
308,2.80,1378.00,3858.40
309,2.80,5.00,14.00
310,2.79,1790.00,4994.10
311,2.79,5000.00,13950.00
312,2.75,1758.00,4834.50
313,2.75,1272.00,3498.00
314,2.75,6483.00,17828.25
315,2.75,1163.00,3198.25
316,2.75,3000.00,8250.00
317,2.70,504.00,1360.80
318,2.77,404.00,1119.08
319,2.78,496.00,1378.88
320,2.79,604.00,1685.16
321,2.79,4396.00,12264.84
322,2.80,5000.00,14000.00
323,2.80,5000.00,14000.00
324,2.80,5000.00,14000.00
325,2.80,10000.00,28000.00
326,2.80,10000.00,28000.00
327,2.80,10000.00,28000.00
328,2.80,4596.00,12868.80
329,2.80,404.00,1131.20
330,2.81,10000.00,28100.00
331,2.81,10000.00,28100.00
332,2.81,681.00,1913.61
333,2.80,5164.00,14459.20
334,2.80,4836.00,13540.80
335,2.80,9836.00,27540.80
336,2.80,1600.00,4480.00
337,2.80,8564.00,23979.20
338,2.80,5000.00,14000.00
339,2.80,1436.00,4020.80
340,2.84,1000.00,2840.00
341,2.80,681.00,1906.80
342,2.80,3669.00,10273.20
343,2.80,5604.00,15691.20
344,2.80,680.00,1904.00
345,2.75,15000.00,41250.00
346,2.75,5000.00,13750.00
347,2.75,10000.00,27500.00
348,2.75,5000.00,13750.00
349,2.72,1000.00,2720.00
350,2.75,5000.00,13750.00
351,2.75,98.00,269.50
352,2.75,518.00,1424.50
353,2.80,1962.00,5493.60
354,2.80,47.00,131.60
355,2.80,2991.00,8374.80
356,2.80,1900.00,5320.00
357,2.80,1271.00,3558.80
358,2.80,525.00,1470.00
359,2.80,3900.00,10920.00
360,2.80,1204.00,3371.20
361,2.80,896.00,2508.80
362,2.80,2000.00,5600.00
363,2.77,504.00,1396.08
364,2.80,4500.00,12600.00
365,2.80,1000.00,2800.00
366,2.78,4882.00,13571.96
367,2.78,5000.00,13900.00
368,2.75,8186.00,22511.50
369,2.77,4496.00,12453.92
370,2.76,104.00,287.04
371,2.75,1500.00,4125.00
372,2.75,714.00,1963.50
373,2.78,1550.00,4309.00
374,2.78,2000.00,5560.00
375,2.78,1568.00,4359.04
376,2.78,904.00,2513.12
377,2.75,5000.00,13750.00
378,2.78,2528.00,7027.84
379,2.78,1000.00,2780.00
380,2.75,68.00,187.00
381,2.75,11404.00,31361.00
382,2.80,500.00,1400.00
383,2.80,90.00,252.00
384,2.80,3090.00,8652.00
385,2.80,910.00,2548.00
386,2.80,1073.00,3004.40
387,2.80,70.00,196.00
388,2.79,1535.00,4282.65
389,2.80,1116.00,3124.80
390,2.80,743.00,2080.40
391,2.85,5000.00,14250.00
392,2.85,19000.00,54150.00
393,2.84,1000.00,2840.00
394,2.85,2075.00,5913.75
395,2.84,6300.00,17892.00
396,2.80,908.00,2542.40
397,2.80,2233.00,6252.40
398,2.80,1057.00,2959.60
399,2.80,410.00,1148.00
400,2.95,1200.00,3540.00
401,2.95,2773.00,8180.35
402,2.95,2227.00,6569.65
403,3.00,2000.00,6000.00
404,3.00,500.00,1500.00
405,3.00,500.00,1500.00
406,3.00,1972.00,5916.00
407,3.00,28.00,84.00
408,3.00,428.00,1284.00
409,3.00,426.00,1278.00
410,3.05,983.00,2998.15
411,3.05,3989.00,12166.45
412,3.05,15397.00,46960.85
413,3.05,4600.00,14030.00
414,3.05,3.00,9.15
415,3.05,997.00,3040.85
416,3.05,2997.00,9140.85
417,3.05,3.00,9.15
418,3.05,409.00,1247.45
419,3.05,28.00,85.40
420,3.05,4563.00,13917.15
421,3.05,437.00,1332.85
422,3.05,1563.00,4767.15
423,3.05,2563.00,7817.15
424,3.05,437.00,1332.85
425,3.05,400.00,1220.00
426,3.05,6557.00,19998.85
427,3.00,318.00,954.00
428,3.00,1682.00,5046.00
429,3.00,1816.00,5448.00
430,3.05,4000.00,12200.00
431,3.05,2000.00,6100.00
432,3.05,2000.00,6100.00
433,3.05,2000.00,6100.00
434,3.05,2000.00,6100.00
435,3.05,2000.00,6100.00
436,3.05,4500.00,13725.00
437,3.05,1980.00,6039.00
438,3.08,100.00,308.00
439,3.10,1079.00,3344.90
440,3.10,2814.00,8723.40
441,3.10,1200.00,3720.00
442,3.10,921.00,2855.10
443,3.10,1035.00,3208.50
444,3.10,5000.00,15500.00
445,3.10,3225.00,9997.50
446,3.10,9354.00,28997.40
447,3.10,300.00,930.00
448,3.09,1904.00,5883.36
449,3.09,45.00,139.05
450,3.09,304.00,939.36
451,3.09,272.00,840.48
452,3.09,68.00,210.12
453,3.09,168.00,519.12
454,3.10,194.00,601.40
455,3.10,5000.00,15500.00
456,3.10,1000.00,3100.00
457,3.10,922.00,2858.20
458,3.10,5000.00,15500.00
459,3.10,3078.00,9541.80
460,3.10,4078.00,12641.80
461,3.18,3000.00,9540.00
462,3.18,69.00,219.42
463,3.18,1009.00,3208.62
464,3.18,725.00,2305.50
465,3.18,2016.00,6410.88
466,3.18,4133.00,13142.94
467,3.20,8316.00,26611.20
468,3.20,5000.00,16000.00
469,3.20,14594.00,46700.80
470,3.20,7711.00,24675.20
471,3.20,13973.00,44713.60
472,3.20,1000.00,3200.00
473,3.30,842.00,2778.60
474,3.30,2648.00,8738.40
475,3.30,1510.00,4983.00
476,3.30,2745.00,9058.50
477,3.30,623.00,2055.90
478,3.30,255.00,841.50
479,3.30,1500.00,4950.00
480,3.30,1373.00,4530.90
481,3.30,1515.00,4999.50
482,3.30,454.00,1498.20
