, PRECIO , VN , PxQ ,Mayor a 100K
0,1.88,2724,5121.12,
1,1.88,2276,4278.88,
2,1.88,3600,6768,
3,1.88,245,460.6,
4,1.88,908,1707.04,
5,1.88,247,464.36,
6,1.88,5904,11099.52,
7,1.88,247,464.36,
8,1.88,1000,1880,
9,1.88,5630,10584.4,
10,1.9,877,1666.3,
11,1.9,4123,7833.7,
12,1.91,3906,7460.46,
13,1.95,3633,7084.35,
14,1.95,2000,3900,
15,1.95,271,528.45,
16,1.98,693,1372.14,
17,1.97,123,242.31,
18,1.97,500,985,
19,1.97,824,1623.28,
20,1.97,553,1089.41,
21,1.98,447,885.06,
22,2,865,1730,
23,2,1635,3270,
24,2,27,54,
25,2,2498,4996,
26,2,1544,3088,
27,2,398,796,
28,2,625,1250,
29,2,465,930,
30,2,30000,60000,
31,2,5414,10828,
32,2,908,1816,
33,2.05,1062,2177.1,
34,2.05,700,1435,
35,2.05,1238,2537.9,
36,2.05,632,1295.6,
37,2.05,3762,7712.1,
38,2.05,606,1242.3,
39,2.05,3064,6281.2,
40,2.05,936,1918.8,
41,2.05,4000,8200,
42,2.05,64,131.2,
43,2.05,227,465.35,
44,2.05,467,957.35,
45,2.05,186,381.3,
46,2.1,1500,3150,
47,2.1,30000,63000,
48,2.1,708,1486.8,
49,2.1,2000,4200,
50,2.1,5700,11970,
51,2.15,1498,3220.7,
52,2.15,508,1092.2,
53,2.15,908,1952.2,
54,2.15,1000,2150,
55,2.15,1000,2150,
56,2.15,170,365.5,
57,2.15,465,999.75,
58,2.15,4115,8847.25,
59,2.15,680,1462,
60,2.15,340,731,
61,2.15,1365,2934.75,
62,2.15,6148,13218.2,
63,2.15,1852,3981.8,
64,2.15,419,900.85,
65,2.15,2802,6024.3,
66,2.25,1000,2250,
67,2.25,2000,4500,
68,2.25,279,627.75,
69,2.25,2787,6270.75,
70,2.25,2213,4979.25,
71,2.25,2787,6270.75,
72,2.25,12213,27479.25,
73,2.25,5000,11250,
74,2.25,4029,9065.25,
75,2.25,10971,24684.75,
76,2.25,2729,6140.25,
77,2.25,2500,5625,
78,2.2,1000,2200,
79,2.25,500,1125,
80,2.2,1000,2200,
81,2.2,1000,2200,
82,2.2,8000,17600,
83,2.2,1000,2200,
84,2.2,1000,2200,
85,2.2,6000,13200,
86,2.2,5000,11000,
87,2.18,8356,18216.08,
88,2.2,8000,17600,
89,2.2,3268,7189.6,
90,2.2,6733,14812.6,
91,2.2,726,1597.2,
92,2.2,2541,5590.2,
93,2.2,6415,14113,
94,2.2,3585,7887,
95,2.2,1400,3080,
96,2.2,2,4.4,
97,2.21,7086,15660.06,
98,2.2,5998,13195.6,
99,2.2,1200,2640,
100,2.2,5000,11000,
101,2.2,3427,7539.4,
102,2.2,4159,9149.8,
103,2.2,4638,10203.6,
104,2.2,173,380.6,
105,2.2,1203,2646.6,
106,2.2,3624,7972.8,
107,2.2,5000,11000,
108,2.2,908,1997.6,
109,2.2,908,1997.6,
110,2.2,10409,22899.8,
111,2.2,6397,14073.4,
112,2.2,3000,6600,
113,2.2,9941,21870.2,
114,2.2,2335,5137,
115,2.2,970,2134,
116,2.2,7315,16093,
117,2.21,500,1105,
118,2.24,450,1008,
119,2.25,110,247.5,
120,2.25,1300,2925,
121,2.24,2818,6312.32,
122,2.25,772,1737,
123,2.25,1890,4252.5,
124,2.25,5000,11250,
125,2.25,3110,6997.5,
126,2.25,2000,4500,
127,2.25,1000,2250,
128,2.25,1612,3627,
129,2.25,388,873,
130,2.25,3500,7875,
131,2.25,52,117,
132,2.25,24,54,
133,2.25,1424,3204,
134,2.25,2731,6144.75,
135,2.25,3587,8070.75,
136,2.25,3562,8014.5,
137,2.25,120,270,
138,2.25,7000,15750,
139,2.25,302,679.5,
140,2.25,9698,21820.5,
141,2.25,10000,22500,
142,2.25,10000,22500,
143,2.25,302,679.5,
144,2.26,3198,7227.48,
145,2.25,2500,5625,
146,2.25,5000,11250,
147,2.25,1584,3564,
148,2.26,1000,2260,
149,2.26,5000,11300,
150,2.26,802,1812.52,
151,2.27,500,1135,
152,2.27,2000,4540,
153,2.3,6143,14128.9,
154,2.3,8857,20371.1,
155,2.3,1077,2477.1,
156,2.3,12780,29394,
157,2.3,500,1150,
158,2.3,1262,2902.6,
159,2.3,842,1936.6,
160,2.3,458,1053.4,
161,2.35,5000,11750,
162,2.35,5000,11750,
163,2.35,1852,4352.2,
164,2.35,1700,3995,
165,2.35,148,347.8,
166,2.31,1362,3146.22,
167,2.35,3152,7407.2,
168,2.35,9999,23497.65,
169,2.35,6849,16095.15,
170,2.35,6007,14116.45,
171,2.35,3151,7404.85,
172,2.35,842,1978.7,
173,2.35,3994,9385.9,
174,2.35,2236,5254.6,
175,2.35,2683,6305.05,
176,2.36,5000,11800,
177,2.36,2500,5900,
178,2.35,362,850.7,
179,2.38,137,326.06,
180,2.38,2500,5950,
181,2.38,725,1725.5,
182,2.38,1638,3898.44,
183,2.38,461,1097.18,
184,2.38,1033,2458.54,
185,2.38,239,568.82,
186,2.38,1753,4172.14,
187,2.39,1033,2468.87,
188,2.39,2000,4780,
189,2.39,2928,6997.92,
190,2.39,1039,2483.21,
191,2.39,1461,3491.79,
192,2.39,500,1195,
193,2.39,1000,2390,
194,2.39,5000,11950,
195,2.39,39,93.21,
196,2.4,10000,24000,
197,2.4,5000,12000,
198,2.4,40000,96000,
199,2.4,1000,2400,
200,2.4,500,1200,
201,2.5,2300,5750,
202,2.5,2700,6750,
203,2.55,4060,10353,
204,2.53,940,2378.2,
205,2.55,940,2397,
206,2.6,2000,5200,
207,2.6,1000,2600,
208,2.6,2000,5200,
209,2.6,1000,2600,
210,2.6,500,1300,
211,2.64,572,1510.08,
212,2.64,3000,7920,
213,2.83,4539,12845.37,
214,2.83,5461,15454.63,
215,2.83,2000,5660,
216,2.83,1039,2940.37,
217,2.83,1500,4245,
218,2.83,1425,4032.75,
219,2.83,17875,50586.25,
220,2.83,4760,13470.8,
221,2.83,700,1981,
222,2.83,1000,2830,
223,2.83,6365,18012.95,
224,2.83,3635,10287.05,
225,2.83,208,588.64,
226,2.87,3000,8610,
227,2.83,454,1284.82,
228,2.83,345,976.35,
229,2.87,616,1767.92,
230,2.87,1000,2870,
231,2.87,2700,7749,
232,2.87,236,677.32,
233,2.87,384,1102.08,
234,2.87,272,780.64,
235,2.87,3533,10139.71,
236,2.9,4175,12107.5,
237,2.9,2386,6919.4,
238,2.9,976,2830.4,
239,2.9,2976,8630.4,
240,2.9,4024,11669.6,
241,2.9,5000,14500,
242,2.9,4000,11600,
243,2.9,2000,5800,
244,2.83,5000,14150,
245,2.83,358,1013.14,
246,2.85,2100,5985,
247,2.8,1050,2940,
248,2.8,3429,9601.2,
249,2.79,600,1674,
250,2.78,900,2502,
