,  PRECIO  ,  VN  ,  PxQ  , Mayor a 100K 
 -   , 1.88 ," 2,724.00 "," 5,121.12 ", -   
 1 , 1.88 ," 2,276.00 "," 4,278.88 ", -   
 2 , 1.88 ," 3,600.00 "," 6,768.00 ", -   
 3 , 1.88 , 245.00 , 460.60 , -   
 4 , 1.88 , 908.00 ," 1,707.04 ", -   
 5 , 1.88 , 247.00 , 464.36 , -   
 6 , 1.88 ," 5,904.00 "," 11,099.52 ", -   
 7 , 1.88 , 247.00 , 464.36 , -   
 8 , 1.88 ," 1,000.00 "," 1,880.00 ", -   
 9 , 1.88 ," 5,630.00 "," 10,584.40 ", -   
 10 , 1.90 , 877.00 ," 1,666.30 ", -   
 11 , 1.90 ," 4,123.00 "," 7,833.70 ", -   
 12 , 1.91 ," 3,906.00 "," 7,460.46 ", -   
 13 , 1.95 ," 3,633.00 "," 7,084.35 ", -   
 14 , 1.95 ," 2,000.00 "," 3,900.00 ", -   
 15 , 1.95 , 271.00 , 528.45 , -   
 16 , 1.98 , 693.00 ," 1,372.14 ", -   
 17 , 1.97 , 123.00 , 242.31 , -   
 18 , 1.97 , 500.00 , 985.00 , -   
 19 , 1.97 , 824.00 ," 1,623.28 ", -   
 20 , 1.97 , 553.00 ," 1,089.41 ", -   
 21 , 1.98 , 447.00 , 885.06 , -   
 22 , 2.00 , 865.00 ," 1,730.00 ", -   
 23 , 2.00 ," 1,635.00 "," 3,270.00 ", -   
 24 , 2.00 , 27.00 , 54.00 , -   
 25 , 2.00 ," 2,498.00 "," 4,996.00 ", -   
 26 , 2.00 ," 1,544.00 "," 3,088.00 ", -   
 27 , 2.00 , 398.00 , 796.00 , -   
 28 , 2.00 , 625.00 ," 1,250.00 ", -   
 29 , 2.00 , 465.00 , 930.00 , -   
 30 , 2.00 ," 30,000.00 "," 60,000.00 ", 1.00 
 31 , 2.00 ," 5,414.00 "," 10,828.00 ", -   
 32 , 2.00 , 908.00 ," 1,816.00 ", -   
 33 , 2.05 ," 1,062.00 "," 2,177.10 ", -   
 34 , 2.05 , 700.00 ," 1,435.00 ", -   
 35 , 2.05 ," 1,238.00 "," 2,537.90 ", -   
 36 , 2.05 , 632.00 ," 1,295.60 ", -   
 37 , 2.05 ," 3,762.00 "," 7,712.10 ", -   
 38 , 2.05 , 606.00 ," 1,242.30 ", -   
 39 , 2.05 ," 3,064.00 "," 6,281.20 ", -   
 40 , 2.05 , 936.00 ," 1,918.80 ", -   
 41 , 2.05 ," 4,000.00 "," 8,200.00 ", -   
 42 , 2.05 , 64.00 , 131.20 , -   
 43 , 2.05 , 227.00 , 465.35 , -   
 44 , 2.05 , 467.00 , 957.35 , -   
 45 , 2.05 , 186.00 , 381.30 , -   
 46 , 2.10 ," 1,500.00 "," 3,150.00 ", -   
 47 , 2.10 ," 30,000.00 "," 63,000.00 ", 1.00 
 48 , 2.10 , 708.00 ," 1,486.80 ", -   
 49 , 2.10 ," 2,000.00 "," 4,200.00 ", -   
 50 , 2.10 ," 5,700.00 "," 11,970.00 ", -   
 51 , 2.15 ," 1,498.00 "," 3,220.70 ", -   
 52 , 2.15 , 508.00 ," 1,092.20 ", -   
 53 , 2.15 , 908.00 ," 1,952.20 ", -   
 54 , 2.15 ," 1,000.00 "," 2,150.00 ", -   
 55 , 2.15 ," 1,000.00 "," 2,150.00 ", -   
 56 , 2.15 , 170.00 , 365.50 , -   
 57 , 2.15 , 465.00 , 999.75 , -   
 58 , 2.15 ," 4,115.00 "," 8,847.25 ", -   
 59 , 2.15 , 680.00 ," 1,462.00 ", -   
 60 , 2.15 , 340.00 , 731.00 , -   
 61 , 2.15 ," 1,365.00 "," 2,934.75 ", -   
 62 , 2.15 ," 6,148.00 "," 13,218.20 ", -   
 63 , 2.15 ," 1,852.00 "," 3,981.80 ", -   
 64 , 2.15 , 419.00 , 900.85 , -   
 65 , 2.15 ," 2,802.00 "," 6,024.30 ", -   
 66 , 2.25 ," 1,000.00 "," 2,250.00 ", -   
 67 , 2.25 ," 2,000.00 "," 4,500.00 ", -   
 68 , 2.25 , 279.00 , 627.75 , -   
 69 , 2.25 ," 2,787.00 "," 6,270.75 ", -   
 70 , 2.25 ," 2,213.00 "," 4,979.25 ", -   
 71 , 2.25 ," 2,787.00 "," 6,270.75 ", -   
 72 , 2.25 ," 12,213.00 "," 27,479.25 ", -   
 73 , 2.25 ," 5,000.00 "," 11,250.00 ", -   
 74 , 2.25 ," 4,029.00 "," 9,065.25 ", -   
 75 , 2.25 ," 10,971.00 "," 24,684.75 ", -   
 76 , 2.25 ," 2,729.00 "," 6,140.25 ", -   
 77 , 2.25 ," 2,500.00 "," 5,625.00 ", -   
 78 , 2.20 ," 1,000.00 "," 2,200.00 ", -   
 79 , 2.25 , 500.00 ," 1,125.00 ", -   
 80 , 2.20 ," 1,000.00 "," 2,200.00 ", -   
 81 , 2.20 ," 1,000.00 "," 2,200.00 ", -   
 82 , 2.20 ," 8,000.00 "," 17,600.00 ", -   
 83 , 2.20 ," 1,000.00 "," 2,200.00 ", -   
 84 , 2.20 ," 1,000.00 "," 2,200.00 ", -   
 85 , 2.20 ," 6,000.00 "," 13,200.00 ", -   
 86 , 2.20 ," 5,000.00 "," 11,000.00 ", -   
 87 , 2.18 ," 8,356.00 "," 18,216.08 ", -   
 88 , 2.20 ," 8,000.00 "," 17,600.00 ", -   
 89 , 2.20 ," 3,268.00 "," 7,189.60 ", -   
 90 , 2.20 ," 6,733.00 "," 14,812.60 ", -   
 91 , 2.20 , 726.00 ," 1,597.20 ", -   
 92 , 2.20 ," 2,541.00 "," 5,590.20 ", -   
 93 , 2.20 ," 6,415.00 "," 14,113.00 ", -   
 94 , 2.20 ," 3,585.00 "," 7,887.00 ", -   
 95 , 2.20 ," 1,400.00 "," 3,080.00 ", -   
 96 , 2.20 , 2.00 , 4.40 , -   
 97 , 2.21 ," 7,086.00 "," 15,660.06 ", -   
 98 , 2.20 ," 5,998.00 "," 13,195.60 ", -   
 99 , 2.20 ," 1,200.00 "," 2,640.00 ", -   
 100 , 2.20 ," 5,000.00 "," 11,000.00 ", -   
 101 , 2.20 ," 3,427.00 "," 7,539.40 ", -   
 102 , 2.20 ," 4,159.00 "," 9,149.80 ", -   
 103 , 2.20 ," 4,638.00 "," 10,203.60 ", -   
 104 , 2.20 , 173.00 , 380.60 , -   
