,Precio,VN,PXQ,Dia,Mes,Año,Hora,Min,Segundo,Variac c resp a precio operado anterior
0, 11.00 ," 1,038.00 "," 11,418.00 ",10,8,2017,11,5,30, -   
1, 11.00 , 922.00 ," 10,142.00 ",10,8,2017,11,10,47, -   
2, 11.00 ," 2,000.00 "," 22,000.00 ",10,8,2017,11,11,30, -   
3, 11.00 , 78.00 , 858.00 ,10,8,2017,11,11,49, -   
4, 11.00 , 183.00 ," 2,013.00 ",10,8,2017,11,12,2, -   
5, 11.00 , 317.00 ," 3,487.00 ",10,8,2017,11,19,4, -   
6, 10.90 , 152.00 ," 1,656.80 ",10,8,2017,11,23,28, (0.009091)
7, 11.00 , 90.00 , 990.00 ,10,8,2017,11,28,10, 0.009174 
8, 11.25 , 50.00 , 562.50 ,10,8,2017,11,29,26, 0.022727 
9, 11.20 ," 1,000.00 "," 11,200.00 ",10,8,2017,11,31,59, (0.004444)
10, 11.20 , 500.00 ," 5,600.00 ",10,8,2017,11,32,51, -   
11, 11.20 ," 5,000.00 "," 56,000.00 ",10,8,2017,11,33,28, -   
12, 11.15 ," 10,000.00 "," 111,500.00 ",10,8,2017,11,33,29, (0.004464)
13, 11.20 , 51.00 , 571.20 ,10,8,2017,11,33,55, 0.004484 
14, 11.25 , 917.00 ," 10,316.25 ",10,8,2017,11,35,12, 0.004464 
15, 11.25 ," 1,715.00 "," 19,293.75 ",10,8,2017,11,37,45, -   
16, 11.25 ," 2,582.00 "," 29,047.50 ",10,8,2017,11,39,3, -   
17, 11.25 ," 4,418.00 "," 49,702.50 ",10,8,2017,11,39,3, -   
18, 11.25 , 418.00 ," 4,702.50 ",10,8,2017,11,46,28, -   
19, 11.25 , 22.00 , 247.50 ,10,8,2017,11,46,28, -   
20, 11.25 ," 4,978.00 "," 56,002.50 ",10,8,2017,11,47,36, -   
21, 11.25 ," 2,500.00 "," 28,125.00 ",10,8,2017,11,51,44, -   
22, 11.25 , 977.00 ," 10,991.25 ",10,8,2017,11,54,34, -   
23, 11.25 ," 1,000.00 "," 11,250.00 ",10,8,2017,11,57,44, -   
24, 11.25 ," 9,376.00 "," 105,480.00 ",10,8,2017,11,57,44, -   
25, 11.25 , 23.00 , 258.75 ,10,8,2017,11,57,44, -   
26, 11.30 ," 3,000.00 "," 33,900.00 ",10,8,2017,11,59,13, 0.004444 
27, 11.30 , 317.00 ," 3,582.10 ",10,8,2017,11,59,13, -   
28, 11.30 ," 1,683.00 "," 19,017.90 ",10,8,2017,11,59,19, -   
29, 11.30 , 317.00 ," 3,582.10 ",10,8,2017,11,59,24, -   
30, 11.35 ," 1,500.00 "," 17,025.00 ",10,8,2017,11,59,34, 0.004425 
31, 11.40 ," 1,038.00 "," 11,833.20 ",10,8,2017,12,2,44, 0.004405 
32, 11.40 ," 2,470.00 "," 28,158.00 ",10,8,2017,12,3,9, -   
33, 11.40 ," 3,000.00 "," 34,200.00 ",10,8,2017,12,7,51, -   
34, 11.45 , 900.00 ," 10,305.00 ",10,8,2017,12,8,37, 0.004386 
35, 11.45 , 80.00 , 916.00 ,10,8,2017,12,8,52, -   
36, 11.45 ," 2,020.00 "," 23,129.00 ",10,8,2017,12,8,53, -   
37, 11.45 ," 3,000.00 "," 34,350.00 ",10,8,2017,12,8,53, -   
38, 11.45 ," 2,500.00 "," 28,625.00 ",10,8,2017,12,8,53, -   
39, 11.45 ," 3,500.00 "," 40,075.00 ",10,8,2017,12,8,53, -   
40, 11.45 , 80.00 , 916.00 ,10,8,2017,12,8,53, -   
41, 11.45 , 320.00 ," 3,664.00 ",10,8,2017,12,8,57, -   
42, 11.45 ," 2,500.00 "," 28,625.00 ",10,8,2017,12,8,57, -   
43, 11.50 ," 5,000.00 "," 57,500.00 ",10,8,2017,12,9,0, 0.004367 
44, 11.50 ," 13,000.00 "," 149,500.00 ",10,8,2017,12,9,0, -   
45, 11.50 , 415.00 ," 4,772.50 ",10,8,2017,12,9,0, -   
46, 11.50 ," 5,000.00 "," 57,500.00 ",10,8,2017,12,9,0, -   
47, 11.50 ," 2,500.00 "," 28,750.00 ",10,8,2017,12,9,0, -   
48, 11.50 ," 1,376.00 "," 15,824.00 ",10,8,2017,12,9,0, -   
49, 11.50 ," 1,558.00 "," 17,917.00 ",10,8,2017,12,9,0, -   
50, 11.50 ," 5,000.00 "," 57,500.00 ",10,8,2017,12,9,0, -   
51, 11.60 ," 5,000.00 "," 58,000.00 ",10,8,2017,12,9,8, 0.008696 
52, 11.60 ," 1,379.00 "," 15,996.40 ",10,8,2017,12,12,13, -   
53, 11.60 ," 4,929.00 "," 57,176.40 ",10,8,2017,12,12,48, -   
54, 11.60 ," 1,756.00 "," 20,369.60 ",10,8,2017,12,13,17, -   
55, 11.60 , 650.00 ," 7,540.00 ",10,8,2017,12,13,57, -   
56, 11.60 ," 1,000.00 "," 11,600.00 ",10,8,2017,12,13,57, -   
57, 11.60 ," 2,000.00 "," 23,200.00 ",10,8,2017,12,15,20, -   
58, 11.60 ," 1,700.00 "," 19,720.00 ",10,8,2017,12,16,20, -   
59, 11.60 , 650.00 ," 7,540.00 ",10,8,2017,12,16,26, -   
60, 11.65 ," 2,389.00 "," 27,831.85 ",10,8,2017,12,16,29, 0.004310 
61, 11.65 ," 1,000.00 "," 11,650.00 ",10,8,2017,12,16,29, -   
62, 11.65 ," 2,500.00 "," 29,125.00 ",10,8,2017,12,16,34, -   
63, 11.65 ," 2,811.00 "," 32,748.15 ",10,8,2017,12,16,34, -   
64, 11.55 , 900.00 ," 10,395.00 ",10,8,2017,12,18,21, (0.008584)
65, 11.55 ," 4,000.00 "," 46,200.00 ",10,8,2017,12,18,21, -   
66, 11.55 ," 1,000.00 "," 11,550.00 ",10,8,2017,12,19,6, -   
67, 11.55 ," 1,000.00 "," 11,550.00 ",10,8,2017,12,19,58, -   
68, 11.60 , 689.00 ," 7,992.40 ",10,8,2017,12,22,14, 0.004329 
69, 11.60 ," 4,811.00 "," 55,807.60 ",10,8,2017,12,22,19, -   
70, 11.55 , 811.00 ," 9,367.05 ",10,8,2017,12,22,21, (0.004310)
71, 11.60 ," 4,189.00 "," 48,592.40 ",10,8,2017,12,22,21, 0.004329 
72, 11.55 ," 1,139.00 "," 13,155.45 ",10,8,2017,12,23,47, (0.004310)
73, 11.55 , 865.00 ," 9,990.75 ",10,8,2017,12,23,47, -   
74, 11.50 ," 1,998.00 "," 22,977.00 ",10,8,2017,12,23,52, (0.004329)
75, 11.50 ," 5,284.00 "," 60,766.00 ",10,8,2017,12,23,52, -   
76, 11.55 ," 4,329.00 "," 49,999.95 ",10,8,2017,12,24,47, 0.004348 
77, 11.55 ," 1,000.00 "," 11,550.00 ",10,8,2017,12,24,54, -   
78, 11.55 ," 7,267.00 "," 83,933.85 ",10,8,2017,12,28,40, -   
79, 11.50 , 100.00 ," 1,150.00 ",10,8,2017,12,30,34, (0.004329)
80, 11.55 , 900.00 ," 10,395.00 ",10,8,2017,12,30,34, 0.004348 
81, 11.60 ," 1,500.00 "," 17,400.00 ",10,8,2017,12,37,4, 0.004329 
82, 11.60 ," 1,459.00 "," 16,924.40 ",10,8,2017,12,37,11, -   
83, 11.60 ," 1,700.00 "," 19,720.00 ",10,8,2017,12,37,43, -   
84, 11.60 ," 3,744.00 "," 43,430.40 ",10,8,2017,12,37,57, -   
85, 11.55 ," 2,770.00 "," 31,993.50 ",10,8,2017,12,38,33, (0.004310)
86, 11.55 , 280.00 ," 3,234.00 ",10,8,2017,12,38,55, -   
87, 11.55 , 854.00 ," 9,863.70 ",10,8,2017,12,38,55, -   
88, 11.55 , 866.00 ," 10,002.30 ",10,8,2017,12,38,55, -   
89, 11.55 ," 1,700.00 "," 19,635.00 ",10,8,2017,12,39,4, -   
90, 11.55 , 20.00 , 231.00 ,10,8,2017,12,39,55, -   
91, 11.50 ," 5,400.00 "," 62,100.00 ",10,8,2017,12,40,23, (0.004329)
92, 11.50 ," 2,030.00 "," 23,345.00 ",10,8,2017,12,40,23, -   
